,Date,Country,Total cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot cases per 1M population,Total Deaths per 1M population,1st Case
134,2020-04-02,Guatemala,39,+1,1 ,,12,26,1,2,0.06,"
Mar 12 "
135,2020-04-02,French Polynesia,37,, ,,,37,1,132,,"
Mar 10 "
136,2020-04-02,Togo,36,+2,2 ,+1,10,24,,4,0.2,"
Mar 05 "
137,2020-04-02,Zambia,36,, ,,,36,,2,,"
Mar 17 "
138,2020-04-02,El Salvador,33,+1,2 ,+1,,31,4,5,0.3,"
Mar 18 "
139,2020-04-02,Djibouti,33,+3, ,,,33,,33,,"
Mar 17 "
140,2020-04-02,Bermuda,32,, ,,10,22,,514,,"
Mar 17 "
141,2020-04-02,Mali,31,+3,3 ,+1,,28,,2,0.1,"
Mar 24 "
142,2020-04-02,Guinea,30,+8, ,,,30,,2,,"
Mar 12 "
143,2020-04-02,Ethiopia,29,+3, ,,2,27,2,0.3,,"
Mar 12 "
144,2020-04-02,Congo,22,+3,2 ,+2,,20,,4,0.4,"
Mar 14 "
145,2020-04-02,Cayman Islands,22,+8,1 ,,,21,,335,15,"
Mar 12 "
146,2020-04-02,Saint Martin,22,+1,1 ,,2,19,,569,26,"
Feb 29 "
147,2020-04-02,Bahamas,21,+7,1 ,+1,1,19,,53,3,"
Mar 14 "
148,2020-04-02,Tanzania,20,+1,1 ,,1,18,,0.3,0.02,"
Mar 15 "
149,2020-04-02,Guyana,19,+7,3 ,+1,,16,,24,4,"
Mar 11 "
150,2020-04-02,Maldives,19,+1, ,,13,6,,35,,"
Mar 06 "
151,2020-04-02,Gabon,18,+2,1 ,,,17,,8,0.4,"
Mar 12 "
152,2020-04-02,Myanmar,16,+1,1 ,,,15,,0.3,0.02,"
Mar 22 "
153,2020-04-02,Sint Maarten,16,+10,1 ,+1,6,9,,373,23,"
Mar 17 "
154,2020-04-02,Haiti,16,+1, ,,1,15,,1,,"
Mar 19 "
155,2020-04-02,New Caledonia,16,, ,,1,15,,56,,"
Mar 17 "
156,2020-04-02,Equatorial Guinea,15,, ,,1,14,,11,,"
 Mar 13 "
157,2020-04-02,Eritrea,15,, ,,,15,,4,,"
Mar 20 "
158,2020-04-02,Mongolia,14,+2, ,,2,12,,4,,"
Mar 09 "
159,2020-04-02,Namibia,14,+3, ,,2,12,,6,,"
Mar 13 "
160,2020-04-02,Benin,13,+4, ,,1,12,,1,,"
Mar 15 "
161,2020-04-02,Saint Lucia,13,, ,,1,12,,71,,"
Mar 12 "
162,2020-04-02,Dominica,12,, ,,,12,,167,,"
Mar 21 "
163,2020-04-02,Curaçao,11,,1 ,,3,7,,67,6,"
Mar 12 "
164,2020-04-02,Syria,10,,2 ,,,8,,0.6,0.1,"
Mar 21 "
