,Date,Country,Total_cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious,Tot_cases_per_1M_population,Total_Deaths_per_1M_population,Total Test,Test test/1M Population,Continent
0,2020-04-13,"
Asia
","310,240","+11,504","11,351",+349,"150,611","148,278","6,655",,,,,Asia
1,2020-04-13,"
North America
","627,064","+28,769","25,112","+1,636","47,293","554,659","13,863",,,,,North America
2,2020-04-13,"
Europe
","907,386","+26,276","79,989","+3,221","231,946","595,451","29,807",,,,,Europe
3,2020-04-13,"
South America
","54,694","+4,113","2,248",+167,"7,061","45,385","1,153",,,,,South America
4,2020-04-13,"
Oceania
","7,799",+67,66,+3,"4,041","3,692",84,,,,,Australia/Oceania
5,2020-04-13,"
Africa
","15,944",+862,838,+47,"3,045","12,061",178,,,,,Africa
6,2020-04-13,"

",721,,14,,639,68,7,,,,,
7,2020-04-13,World,"1,923,848","+71,591","119,618","+5,423","444,636","1,359,594","51,747",247,15.3,,,All
8,2020-04-13,China,"82,160",+108,"3,341 ",+2,"77,663","1,156",121,57,2,,,Asia
9,2020-04-13,USA,"586,941","+26,641","23,640 ","+1,535","36,948","526,353","12,772","1,773",71,"2,943,955","8,894",North America
10,2020-04-13,Spain,"170,099","+3,268","17,756 ",+547,"64,727","87,616","7,371","3,638",380,"600,000","12,833",Europe
11,2020-04-13,Italy,"159,516","+3,153","20,465 ",+566,"35,435","103,616","3,260","2,638",338,"1,046,910","17,315",Europe
12,2020-04-13,France,"136,779","+4,188","14,967 ",+574,"27,718","94,094","6,821","2,095",229,"333,807","5,114",Europe
13,2020-04-13,Germany,"130,072","+2,218","3,194 ",+172,"64,300","62,578","4,895","1,552",38,"1,317,887","15,730",Europe
14,2020-04-13,UK,"88,621","+4,342","11,329 ",+717,N/A,"76,948","1,559","1,305",167,"367,667","5,416",Europe
15,2020-04-13,Iran,"73,303","+1,617","4,585 ",+111,"45,983","22,735","3,877",873,55,"275,427","3,279",Asia
16,2020-04-13,Turkey,"61,049","+4,093","1,296 ",+98,"3,957","55,796","1,786",724,15,"410,556","4,868",Asia
17,2020-04-13,Belgium,"30,589",+942,"3,903 ",+303,"6,707","19,979","1,234","2,639",337,"102,151","8,814",Europe
18,2020-04-13,Netherlands,"26,551",+964,"2,823 ",+86,250,"23,478","1,358","1,550",165,"115,992","6,769",Europe
19,2020-04-13,Switzerland,"25,688",+273,"1,138 ",+32,"13,700","10,850",386,"2,968",131,"193,800","22,393",Europe
20,2020-04-13,Canada,"25,680","+1,297",780 ,+63,"7,756","17,144",557,680,21,"437,475","11,591",North America
21,2020-04-13,Brazil,"23,430","+1,238","1,328 ",+105,173,"21,929",296,110,6,"62,985",296,South America
22,2020-04-13,Russia,"18,328","+2,558",148 ,+18,"1,470","16,710",8,126,1,"1,300,000","8,908",Europe
23,2020-04-13,Portugal,"16,934",+349,535 ,+31,277,"16,122",188,"1,661",52,"182,707","17,918",Europe
24,2020-04-13,Austria,"14,041",+96,368 ,+18,"7,343","6,330",239,"1,559",41,"148,412","16,479",Europe
25,2020-04-13,Israel,"11,586",+441,116 ,+13,"1,855","9,615",181,"1,339",13,"117,339","13,557",Asia
26,2020-04-13,Sweden,"10,948",+465,919 ,+20,381,"9,648",859,"1,084",91,"54,700","5,416",Europe
27,2020-04-13,Ireland,"10,647",+992,365 ,+31,25,"10,257",194,"2,156",74,"72,000","14,581",Europe
28,2020-04-13,S. Korea,"10,537",+25,217 ,+3,"7,447","2,873",55,206,4,"514,621","10,038",Asia
29,2020-04-13,India,"10,453","+1,248",358 ,+27,"1,181","8,914",,8,0.3,"189,111",137,Asia
30,2020-04-13,Peru,"9,784","+2,265",216 ,+23,"2,642","6,926",143,297,7,"87,116","2,642",South America
31,2020-04-13,Japan,"7,618",+248,143 ,+20,799,"6,676",135,60,1,"77,381",612,Asia
32,2020-04-13,Ecuador,"7,529",+63,355 ,+22,597,"6,577",121,427,20,"24,553","1,392",South America
33,2020-04-13,Chile,"7,525",+312,82 ,+2,"2,367","5,076",387,394,4,"85,035","4,448",South America
34,2020-04-13,Poland,"6,934",+260,245 ,+13,487,"6,202",160,183,6,"143,630","3,795",Europe
35,2020-04-13,Romania,"6,633",+333,331 ,+15,914,"5,388",231,345,17,"67,204","3,493",Europe
36,2020-04-13,Norway,"6,603",+78,134 ,+6,32,"6,437",59,"1,218",25,"127,305","23,483",Europe
37,2020-04-13,Australia,"6,359",+46,61 ,+2,"3,494","2,804",79,249,2,"362,136","14,201",Australia/Oceania
38,2020-04-13,Denmark,"6,318",+144,285 ,+12,"2,235","3,798",100,"1,091",49,"72,099","12,448",Europe
39,2020-04-13,Czechia,"6,059",+68,143 ,+5,519,"5,397",100,566,13,"128,359","11,986",Europe
40,2020-04-13,Pakistan,"5,496",+266,93 ,+2,"1,095","4,308",44,25,0.4,"65,114",295,Asia
41,2020-04-13,Saudi Arabia,"4,934",+472,65 ,+6,805,"4,064",59,142,2,"115,585","3,320",Asia
42,2020-04-13,Philippines,"4,932",+284,315 ,+18,242,"4,375",1,45,3,"33,814",309,Asia
43,2020-04-13,Malaysia,"4,817",+134,77 ,+1,"2,276","2,464",66,149,2,"81,730","2,525",Asia
44,2020-04-13,Mexico,"4,661",+442,296 ,+23,"1,843","2,522",185,36,2,"36,594",284,North America
45,2020-04-13,Indonesia,"4,557",+316,399 ,+26,380,"3,778",,17,1,"27,075",99,Asia
46,2020-04-13,UAE,"4,521",+398,25 ,+3,852,"3,644",1,457,3,"648,195","65,538",Asia
47,2020-04-13,Serbia,"4,054",+424,85 ,+5,400,"3,569",138,464,10,"20,958","2,399",Europe
48,2020-04-13,Panama,"3,472",+72,94 ,+7,61,"3,317",106,805,22,"15,567","3,608",North America
49,2020-04-13,Luxembourg,"3,292",+11,69 ,+3,500,"2,723",30,"5,259",110,"29,315","46,831",Europe
50,2020-04-13,Qatar,"3,231",+252,7 ,,334,"2,890",37,"1,121",2,"50,828","17,642",Asia
51,2020-04-13,Dominican Republic,"3,167",+200,177 ,+4,152,"2,838",147,292,16,"9,275",855,North America
52,2020-04-13,Ukraine,"3,102",+325,93 ,+10,97,"2,912",45,71,2,"32,496",743,Europe
53,2020-04-13,Finland,"3,064",+90,59 ,+3,300,"2,705",74,553,11,"46,000","8,302",Europe
54,2020-04-13,Belarus,"2,919",+341,29 ,+3,203,"2,687",55,309,3,"68,000","7,196",Europe
55,2020-04-13,Singapore,"2,918",+386,9 ,+1,586,"2,323",29,499,2,"72,680","12,423",Asia
56,2020-04-13,Colombia,"2,852",+76,112 ,+3,319,"2,421",92,56,2,"41,765",821,South America
57,2020-04-13,Thailand,"2,579",+28,40 ,+2,"1,288","1,251",61,37,0.6,"71,860","1,030",Asia
58,2020-04-13,Argentina,"2,277",+135,98 ,+8,515,"1,664",83,50,2,"19,758",437,South America
59,2020-04-13,South Africa,"2,272",+99,27 ,+2,410,"1,835",7,38,0.5,"83,663","1,411",Africa
60,2020-04-13,Egypt,"2,190",+125,164 ,+5,589,"1,437",,21,2,"25,000",244,Africa
61,2020-04-13,Greece,"2,145",+31,99 ,+1,269,"1,777",73,206,9,"43,417","4,165",Europe
62,2020-04-13,Algeria,"1,983",+69,313 ,+20,601,"1,069",60,45,7,"3,359",77,Africa
