,Date,Country,Total_cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious,Tot_cases_per_1M_population,Total_Deaths_per_1M_population,Total Test,Test test/1M Population,Continent
0,2020-04-16,"
Asia
","345,970","+12,773","12,426",+358,"165,739","167,805","6,477",,,,,Asia
1,2020-04-16,"
North America
","724,560","+32,002","36,709","+2,418","70,319","617,532","14,460",,,,,North America
2,2020-04-16,"
Europe
","1,015,507","+44,750","92,224","+3,905","275,293","647,990","27,806",,,,,Europe
3,2020-04-16,"
South America
","67,591","+4,289","3,057",+260,"25,971","38,563","7,601",,,,,South America
4,2020-04-16,"
Oceania
","7,966",+42,72,,"4,518","3,376",71,,,,,Australia/Oceania
5,2020-04-16,"
Africa
","18,993","+1,166",968,+55,"4,585","13,440",180,,,,,Africa
6,2020-04-16,"

",721,,14,,644,63,7,,,,,
7,2020-04-16,World,"2,181,308","+95,022","145,470","+6,996","547,069","1,488,769","56,602",280,18.7,,,All
8,2020-04-16,China,"82,341",+46,"3,342 ",,"77,892","1,107",95,57,2,,,Asia
9,2020-04-16,USA,"677,570","+29,567","34,617 ","+2,174","57,508","585,445","13,369","2,047",105,"3,398,140","10,266",North America
10,2020-04-16,Spain,"184,948","+4,289","19,315 ",+503,"74,797","90,836","7,371","3,956",413,"930,230","19,896",Europe
11,2020-04-16,Italy,"168,941","+3,786","22,170 ",+525,"40,164","106,607","2,936","2,794",367,"1,178,403","19,490",Europe
12,2020-04-16,France,"165,027","+17,164","17,920 ",+753,"32,812","114,295","6,248","2,528",275,"333,807","5,114",Europe
13,2020-04-16,Germany,"137,698","+2,945","4,052 ",+248,"77,000","56,646","4,288","1,643",48,"1,728,357","20,629",Europe
14,2020-04-16,UK,"103,093","+4,617","13,729 ",+861,N/A,"89,020","1,559","1,519",202,"417,649","6,152",Europe
15,2020-04-16,Iran,"77,995","+1,606","4,869 ",+92,"52,229","20,897","3,594",929,58,"310,340","3,695",Asia
16,2020-04-16,Turkey,"74,193","+4,801","1,643 ",+125,"7,089","65,461","1,854",880,19,"518,143","6,144",Asia
17,2020-04-16,Belgium,"34,809","+1,236","4,857 ",+417,"7,562","22,390","1,182","3,003",419,"134,303","11,588",Europe
18,2020-04-16,Brazil,"30,683","+2,073","1,947 ",+190,"14,026","14,710","6,634",144,9,"62,985",296,South America
19,2020-04-16,Canada,"30,106","+1,727","1,195 ",+185,"9,729","19,182",557,798,32,"487,625","12,920",North America
20,2020-04-16,Netherlands,"29,214","+1,061","3,315 ",+181,250,"25,649","1,279","1,705",193,"147,948","8,634",Europe
21,2020-04-16,Russia,"27,938","+3,448",232 ,+34,"2,304","25,402",8,191,2,"1,613,413","11,056",Europe
22,2020-04-16,Switzerland,"26,732",+396,"1,281 ",+42,"15,900","9,551",386,"3,089",148,"206,400","23,849",Europe
23,2020-04-16,Portugal,"18,841",+750,629 ,+30,493,"17,719",229,"1,848",62,"208,314","20,430",Europe
24,2020-04-16,Austria,"14,476",+126,410 ,+17,"8,986","5,080",238,"1,607",46,"162,816","18,078",Europe
25,2020-04-16,India,"13,430","+1,060",448 ,+26,"1,768","11,214",,10,0.3,"302,956",220,Asia
26,2020-04-16,Ireland,"13,271",+724,486 ,+42,77,"12,708",156,"2,688",98,"90,646","18,358",Europe
27,2020-04-16,Israel,"12,758",+257,142 ,+12,"2,818","9,798",181,"1,474",16,"187,250","21,634",Asia
28,2020-04-16,Sweden,"12,540",+613,"1,333 ",+130,550,"10,657",522,"1,242",132,"74,600","7,387",Europe
29,2020-04-16,Peru,"12,491","+1,016",274 ,+20,"6,120","6,097",169,379,8,"121,468","3,684",South America
30,2020-04-16,S. Korea,"10,613",+22,229 ,+4,"7,757","2,627",55,207,4,"538,775","10,509",Asia
31,2020-04-16,Japan,"9,231",+605,190 ,+12,935,"8,106",193,73,2,"100,703",796,Asia
32,2020-04-16,Chile,"8,807",+534,105 ,+11,"3,299","5,403",384,461,5,"98,424","5,149",South America
33,2020-04-16,Ecuador,"8,225",+367,403 ,+15,838,"6,984",168,466,23,"27,868","1,580",South America
34,2020-04-16,Poland,"7,918",+336,314 ,+28,774,"6,830",160,209,8,"169,071","4,467",Europe
35,2020-04-16,Romania,"7,707",+491,392 ,+20,"1,357","5,958",243,401,20,"79,629","4,139",Europe
36,2020-04-16,Pakistan,"6,919",+536,128 ,+17,"1,645","5,146",46,31,0.6,"78,979",358,Asia
37,2020-04-16,Norway,"6,905",+108,152 ,+2,32,"6,721",64,"1,274",28,"133,707","24,664",Europe
38,2020-04-16,Denmark,"6,879",+198,321 ,+12,"3,023","3,535",92,"1,188",55,"82,380","14,223",Europe
39,2020-04-16,Australia,"6,468",+21,63 ,,"3,747","2,658",66,254,2,"380,003","14,902",Australia/Oceania
40,2020-04-16,Czechia,"6,433",+132,169 ,+3,972,"5,292",75,601,16,"146,004","13,634",Europe
41,2020-04-16,Saudi Arabia,"6,380",+518,83 ,+4,990,"5,307",71,183,2,"150,000","4,309",Asia
42,2020-04-16,Mexico,"5,847",+448,449 ,+43,"2,125","3,273",207,45,3,"40,091",311,North America
43,2020-04-16,UAE,"5,825",+460,35 ,+2,"1,095","4,695",1,589,4,"767,000","77,550",Asia
44,2020-04-16,Philippines,"5,660",+207,362 ,+13,435,"4,863",1,52,3,"48,171",440,Asia
45,2020-04-16,Indonesia,"5,516",+380,496 ,+27,548,"4,472",,20,2,"36,000",132,Asia
46,2020-04-16,Serbia,"5,318",+445,103 ,+4,443,"4,772",120,609,12,"29,472","3,373",Europe
47,2020-04-16,Malaysia,"5,182",+110,84 ,+1,"2,766","2,332",56,160,3,"87,183","2,694",Asia
48,2020-04-16,Singapore,"4,427",+728,10 ,,683,"3,734",29,757,2,"72,680","12,423",Asia
49,2020-04-16,Belarus,"4,204",+476,40 ,+4,203,"3,961",65,445,4,"81,246","8,598",Europe
50,2020-04-16,Ukraine,"4,161",+397,116 ,+8,186,"3,859",45,95,3,"42,823",979,Europe
51,2020-04-16,Qatar,"4,103",+392,7 ,,415,"3,681",37,"1,424",2,"56,381","19,570",Asia
52,2020-04-16,Dominican Republic,"3,755",+141,196 ,+7,215,"3,344",121,346,18,"12,229","1,127",North America
53,2020-04-16,Panama,"3,751",,103 ,,75,"3,573",106,869,24,"16,854","3,906",North America
54,2020-04-16,Luxembourg,"3,444",+71,69 ,,552,"2,823",35,"5,502",110,"31,660","50,577",Europe
55,2020-04-16,Finland,"3,369",+132,75 ,+3,"1,700","1,594",76,608,14,"49,700","8,970",Europe
56,2020-04-16,Colombia,"3,233",+128,144 ,+13,550,"2,539",98,64,3,"52,085","1,024",South America
57,2020-04-16,Egypt,"2,673",+168,196 ,+13,596,"1,881",,26,2,"25,000",244,Africa
58,2020-04-16,Thailand,"2,672",+29,46 ,+3,"1,593","1,033",61,38,0.7,"100,498","1,440",Asia
59,2020-04-16,Argentina,"2,669",+98,122 ,+10,631,"1,916",121,59,3,"26,457",585,South America
60,2020-04-16,South Africa,"2,605",+99,48 ,+14,903,"1,654",7,44,0.8,"95,060","1,603",Africa
61,2020-04-16,Morocco,"2,283",+259,130 ,+3,249,"1,904",1,62,4,"11,996",325,Africa
62,2020-04-16,Algeria,"2,268",+108,348 ,+12,783,"1,137",60,52,8,"3,359",77,Africa
63,2020-04-16,Greece,"2,207",+15,105 ,+3,269,"1,833",69,212,10,"50,771","4,871",Europe
64,2020-04-16,Moldova,"2,154",+105,54 ,+8,235,"1,865",80,534,13,"9,208","2,283",Europe
65,2020-04-16,Croatia,"1,791",+50,35 ,+2,529,"1,227",31,436,9,"20,158","4,910",Europe
66,2020-04-16,Iceland,"1,739",+12,8 ,,"1,144",587,6,"5,096",23,"38,204","111,955",Europe
67,2020-04-16,Bahrain,"1,700",+29,7 ,,703,990,3,999,4,"76,630","45,035",Asia
68,2020-04-16,Hungary,"1,652",+73,142 ,+8,199,"1,311",60,171,15,"38,489","3,984",Europe
69,2020-04-16,Bangladesh,"1,572",+341,60 ,+10,49,"1,463",1,10,0.4,"17,003",103,Asia
70,2020-04-16,Kuwait,"1,524",+119,3 ,,225,"1,296",32,357,0.7,,,Asia
71,2020-04-16,Iraq,"1,434",+19,80 ,+1,856,498,,36,2,"49,260","1,225",Asia
72,2020-04-16,Estonia,"1,434",+34,36 ,+1,133,"1,265",10,"1,081",27,"36,024","27,156",Europe
73,2020-04-16,Kazakhstan,"1,402",+107,17 ,+1,277,"1,108",22,75,0.9,"85,735","4,566",Asia
74,2020-04-16,New Zealand,"1,401",+15,9 ,,770,622,3,291,2,"70,160","14,549",Australia/Oceania
75,2020-04-16,Uzbekistan,"1,349",+47,4 ,,129,"1,216",8,40,0.1,"100,000","2,988",Asia
76,2020-04-16,Azerbaijan,"1,283",+30,15 ,+2,460,808,28,127,1,"75,397","7,436",Asia
77,2020-04-16,Slovenia,"1,268",+20,61 ,,174,"1,033",31,610,29,"38,137","18,344",Europe
78,2020-04-16,Bosnia and Herzegovina,"1,167",+57,43 ,+2,277,847,4,356,13,"14,743","4,494",Europe
79,2020-04-16,Armenia,"1,159",+48,18 ,+1,358,783,30,391,6,"9,632","3,250",Asia
80,2020-04-16,Lithuania,"1,128",+37,32 ,+2,178,918,14,414,12,"48,537","17,829",Europe
81,2020-04-16,North Macedonia,"1,081",+107,46 ,+1,121,914,15,519,22,"10,422","5,002",Europe
82,2020-04-16,Oman,"1,019",+109,4 ,,176,839,3,200,0.8,,,Asia
83,2020-04-16,Hong Kong,"1,018",+1,4 ,,485,529,9,136,0.5,"116,273","15,509",Asia
84,2020-04-16,Cameroon,996,+148,22 ,+5,164,810,,38,0.8,,,Africa
85,2020-04-16,Slovakia,977,+114,8 ,+2,167,802,5,179,1,"34,458","6,311",Europe
86,2020-04-16,Cuba,862,+48,27 ,+3,171,664,16,76,2,"21,837","1,928",North America
87,2020-04-16,Afghanistan,840,+56,30 ,+5,54,756,,22,0.8,,,Asia
88,2020-04-16,Tunisia,822,+42,37 ,+2,43,742,89,70,3,"13,930","1,179",Africa
89,2020-04-16,Bulgaria,800,+53,38 ,+2,122,640,37,115,5,"18,502","2,663",Europe
90,2020-04-16,Cyprus,735,+20,12 ,,77,646,8,609,10,"17,923","14,845",Asia
91,2020-04-16,Diamond Princess,712,,12 ,,644,56,7,,,,,
92,2020-04-16,Latvia,675,+9,5 ,,57,613,3,358,3,"31,302","16,595",Europe
93,2020-04-16,Andorra,673,,33 ,,169,471,17,"8,710",427,"1,673","21,653",Europe
94,2020-04-16,Lebanon,663,+5,21 ,,86,556,30,97,3,"18,115","2,654",Asia
95,2020-04-16,Ivory Coast,654,,6 ,,146,502,,25,0.2,,,Africa
96,2020-04-16,Costa Rica,642,+16,4 ,,74,564,11,126,0.8,"9,396","1,844",North America
97,2020-04-16,Ghana,641,,8 ,,83,550,2,21,0.3,"50,719","1,632",Africa
98,2020-04-16,Djibouti,591,+156,2 ,,73,516,,598,2,"6,430","6,508",Africa
99,2020-04-16,Niger,584,,14 ,,90,480,,24,0.6,"4,427",183,Africa
100,2020-04-16,Burkina Faso,546,+4,32 ,,257,257,,26,2,,,Africa
101,2020-04-16,Albania,518,+24,26 ,+1,277,215,5,180,9,"4,827","1,677",Europe
102,2020-04-16,Uruguay,502,+9,9 ,,286,207,13,145,3,"11,239","3,235",South America
103,2020-04-16,Kyrgyzstan,466,+17,5 ,,91,370,5,71,0.8,"26,147","4,008",Asia
104,2020-04-16,Channel Islands,457,+10,19 ,+4,73,365,,"2,629",109,"3,320","19,095",Europe
105,2020-04-16,Nigeria,442,+35,13 ,+1,152,277,2,2,0.06,"5,000",24,Africa
106,2020-04-16,Bolivia,441,+44,29 ,+1,14,398,3,38,2,"2,185",187,South America
107,2020-04-16,Guinea,438,+34,1 ,,49,388,,33,0.08,,,Africa
108,2020-04-16,San Marino,426,+33,38 ,+2,55,333,15,"12,555","1,120",846,"24,933",Europe
109,2020-04-16,Honduras,426,+7,35 ,+4,9,382,10,43,4,"2,012",203,North America
110,2020-04-16,Malta,412,+13,3 ,,82,327,4,933,7,"21,164","47,932",Europe
111,2020-04-16,Jordan,402,+1,7 ,,259,136,5,39,0.7,"20,500","2,009",Asia
112,2020-04-16,Taiwan,395,,6 ,,155,234,,17,0.3,"50,703","2,129",Asia
113,2020-04-16,Réunion,394,+3, ,,237,157,4,440,,,,Africa
114,2020-04-16,Palestine,374,,2 ,,63,309,,73,0.4,"17,329","3,397",Asia
115,2020-04-16,Georgia,348,+42,3 ,,76,269,6,87,0.8,"5,027","1,260",Asia
116,2020-04-16,Senegal,335,+21,2 ,,194,139,1,20,0.1,,,Africa
117,2020-04-16,Mauritius,324,,9 ,,81,234,3,255,7,"8,279","6,510",Africa
118,2020-04-16,Montenegro,303,+15,4 ,,55,244,7,482,6,"3,874","6,168",Europe
119,2020-04-16,Isle of Man,284,+28,4 ,,154,126,13,"3,340",47,"2,261","26,590",Europe
120,2020-04-16,Vietnam,268,, ,,177,91,8,3,,"206,253","2,119",Asia
121,2020-04-16,DRC,267,+13,22 ,+1,23,222,,3,0.2,,,Africa
122,2020-04-16,Sri Lanka,238,,7 ,,68,163,1,11,0.3,"4,768",223,Asia
123,2020-04-16,Kenya,234,+9,11 ,+1,53,170,2,4,0.2,"9,630",179,Africa
124,2020-04-16,Mayotte,233,+16,3 ,,69,161,3,854,11,"1,500","5,498",Africa
125,2020-04-16,Venezuela,204,+7,9 ,,111,84,4,7,0.3,"268,503","9,442",South America
126,2020-04-16,Guatemala,196,+16,5 ,,19,172,3,11,0.3,"7,200",402,North America
127,2020-04-16,Faeroe Islands,184,, ,,169,15,,"3,766",,"5,765","117,983",Europe
128,2020-04-16,Paraguay,174,+13,8 ,,30,136,1,24,1,"4,267",598,South America
129,2020-04-16,Mali,171,+23,13 ,,34,124,,8,0.6,,,Africa
130,2020-04-16,El Salvador,164,+5,6 ,,33,125,2,25,0.9,"8,333","1,285",North America
131,2020-04-16,Martinique,158,,8 ,,73,77,17,421,21,,,North America
132,2020-04-16,Guadeloupe,145,,8 ,,67,70,13,362,20,,,North America
133,2020-04-16,Jamaica,143,+18,5 ,,21,117,,48,2,"1,424",481,North America
134,2020-04-16,Rwanda,138,+2, ,,60,78,,11,,"6,237",482,Africa
135,2020-04-16,Brunei ,136,,1 ,,108,27,2,311,2,"10,826","24,746",Asia
136,2020-04-16,Gibraltar,131,, ,,104,27,1,"3,888",,"1,649","48,945",Europe
137,2020-04-16,Cambodia,122,, ,,98,24,1,7,,"5,768",345,Asia
138,2020-04-16,Congo,117,,5 ,,11,101,,21,0.9,,,Africa
139,2020-04-16,Trinidad and Tobago,114,,8 ,,20,86,,81,6,"1,282",916,North America
140,2020-04-16,Madagascar,111,+1, ,,33,78,1,4,,,,Africa
141,2020-04-16,Aruba,95,+2,2 ,+1,39,54,1,890,19,"1,237","11,586",North America
142,2020-04-16,Tanzania,94,+6,4 ,,11,79,,2,0.07,,,Africa
143,2020-04-16,Monaco,93,,3 ,,12,78,2,"2,370",76,,,Europe
144,2020-04-16,Ethiopia,92,+7,3 ,,15,74,1,0.8,0.03,"5,389",47,Africa
145,2020-04-16,French Guiana,86,, ,,51,35,1,288,,,,South America
146,2020-04-16,Myanmar,85,+11,4 ,,2,79,,2,0.07,"3,236",59,Asia
147,2020-04-16,Bermuda,81,,5 ,,33,43,3,"1,301",80,527,"8,462",North America
148,2020-04-16,Togo,81,,5 ,+2,45,31,,10,0.6,"3,618",437,Africa
149,2020-04-16,Somalia,80,,5 ,,2,73,2,5,0.3,,,Africa
150,2020-04-16,Gabon,80,,1 ,,4,75,,36,0.4,,,Africa
151,2020-04-16,Liechtenstein,79,,1 ,,55,23,,"2,072",26,900,"23,605",Europe
152,2020-04-16,Barbados,75,+2,5 ,,15,55,4,261,17,900,"3,132",North America
153,2020-04-16,Cayman Islands,60,,1 ,,6,53,3,913,15,636,"9,677",North America
154,2020-04-16,Liberia,59,,6 ,,4,49,,12,1,,,Africa
155,2020-04-16,Sint Maarten,57,+4,9 ,,12,36,6,"1,329",210,163,"3,802",North America
156,2020-04-16,Cabo Verde,56,,1 ,,1,54,,101,2,,,Africa
157,2020-04-16,Guyana,55,,6  ,,8,41,5,70,8,213,271,South America
158,2020-04-16,French Polynesia,55,, ,,,55,1,196,,920,"3,275",Australia/Oceania
159,2020-04-16,Uganda,55,, ,,20,35,,1,,"7,693",168,Africa
160,2020-04-16,Bahamas,53,,8 ,,6,39,1,135,20,,,North America
161,2020-04-16,Equatorial Guinea,51,, ,,4,47,,36,,854,609,Africa
162,2020-04-16,Libya,49,+1,1 ,,11,37,,7,0.1,699,102,Africa
163,2020-04-16,Zambia,48,,2 ,,30,16,1,3,0.1,"1,696",92,Africa
164,2020-04-16,Macao,45,, ,,16,29,1,69,,,,Asia
165,2020-04-16,Guinea-Bissau,43,, ,,,43,,22,,"1,500",762,Africa
166,2020-04-16,Haiti,41,,3 ,,,38,,4,0.3,365,32,North America
167,2020-04-16,Saint Martin,35,,2 ,,13,20,5,905,52,,,North America
168,2020-04-16,Benin,35,,1 ,,18,16,,3,0.08,,,Africa
169,2020-04-16,Eritrea,35,, ,,,35,,10,,,,Africa
170,2020-04-16,Syria,33,,2 ,,5,26,,2,0.1,,,Asia
171,2020-04-16,Sudan,32,,5 ,,4,23,,0.7,0.1,,,Africa
172,2020-04-16,Mongolia,31,+1, ,,5,26,,9,,"1,077",329,Asia
173,2020-04-16,Mozambique,31,+2, ,,2,29,,1.0,,855,27,Africa
174,2020-04-16,Chad,27,+4, ,,5,22,,2,,,,Africa
175,2020-04-16,Maldives,25,+3, ,,16,9,,46,,"3,432","6,349",Asia
176,2020-04-16,Antigua and Barbuda,23,,3 ,+1,3,17,1,235,31,73,745,North America
177,2020-04-16,Zimbabwe,23,,3 ,,1,19,,2,0.2,716,48,Africa
178,2020-04-16,Angola,19,,2 ,,5,12,,0.6,0.06,,,Africa
179,2020-04-16,Laos,19,, ,,2,17,,3,,"1,288",177,Asia
180,2020-04-16,Belize,18,,2 ,,,16,1,45,5,567,"1,426",North America
181,2020-04-16,New Caledonia,18,, ,,1,17,1,63,,"3,002","10,515",Australia/Oceania
182,2020-04-16,Timor-Leste,18,+10, ,,1,17,,14,,,,Asia
