,Date,Country,Total_cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious,Tot_cases_per_1M_population,Total_Deaths_per_1M_population,Total Test,Test test/1M Population
0,2020-04-06,World,"1,346,004","+73,142","74,654","+5,229","278,445","992,905","47,513",173,9.6,,
1,2020-04-06,China,"81,708",+39,"3,331 ",+2,"77,078","1,299",265,57,2,,
2,2020-04-06,USA,"367,004","+30,331","10,871 ","+1,255","19,671","336,462","8,879","1,109",33,"1,914,540","5,784"
3,2020-04-06,Spain,"136,675","+5,029","13,341 ",+700,"40,437","82,897","6,931","2,923",285,"355,000","7,593"
4,2020-04-06,Italy,"132,547","+3,599","16,523 ",+636,"22,837","93,187","3,898","2,192",273,"721,732","11,937"
5,2020-04-06,Germany,"103,375","+3,252","1,810 ",+226,"28,700","72,865","4,895","1,234",22,"918,460","10,962"
6,2020-04-06,France,"98,010","+5,171","8,911 ",+833,"17,250","71,849","7,072","1,502",137,"224,254","3,436"
7,2020-04-06,Iran,"60,500","+2,274","3,739 ",+136,"24,236","32,525","4,083",720,45,"186,000","2,214"
8,2020-04-06,UK,"51,608","+3,802","5,373  ",+439,135,"46,100","1,559",760,79,"252,958","3,726"
9,2020-04-06,Turkey,"30,217","+3,148",649 ,+75,"1,326","28,242","1,415",358,8,"202,845","2,405"
10,2020-04-06,Switzerland,"21,657",+557,765 ,+50,"8,056","12,836",391,"2,502",88,"162,500","18,776"
11,2020-04-06,Belgium,"20,814","+1,123","1,632 ",+185,"3,986","15,196","1,257","1,796",141,"70,000","6,040"
12,2020-04-06,Netherlands,"18,803",+952,"1,867 ",+101,250,"16,686","1,409","1,097",109,"86,589","5,053"
13,2020-04-06,Canada,"16,667","+1,155",323 ,+43,"3,616","12,728",426,442,9,"330,901","8,767"
14,2020-04-06,Austria,"12,297",+246,220 ,+16,"3,463","8,614",250,"1,365",24,"111,296","12,357"
15,2020-04-06,Brazil,"12,183",+929,564 ,+78,127,"11,492",296,57,3,"54,824",258
16,2020-04-06,Portugal,"11,730",+452,311 ,+16,140,"11,279",270,"1,150",31,"110,000","10,788"
17,2020-04-06,S. Korea,"10,284",+47,186 ,+3,"6,598","3,500",55,201,4,"461,233","8,996"
18,2020-04-06,Israel,"8,904",+474,57 ,+8,585,"8,262",140,"1,029",7,"109,724","12,677"
19,2020-04-06,Sweden,"7,206",+376,477 ,+76,205,"6,524",590,714,47,"36,900","3,654"
20,2020-04-06,Russia,"6,343",+954,47 ,+2,406,"5,890",8,43,0.3,"758,000","5,194"
21,2020-04-06,Australia,"5,895",+145,45 ,+8,"2,432","3,418",96,231,2,"303,536","11,903"
22,2020-04-06,Norway,"5,865",+178,76 ,+5,32,"5,757",83,"1,082",14,"111,299","20,530"
23,2020-04-06,Ireland,"5,364",+370,174 ,+16,25,"5,165",165,"1,086",35,"30,213","6,119"
24,2020-04-06,Czechia,"4,822",+235,78 ,+11,121,"4,623",84,450,7,"85,014","7,939"
25,2020-04-06,Chile,"4,815",+344,37 ,+3,728,"4,050",327,252,2,"54,864","2,870"
26,2020-04-06,India,"4,778",+489,136 ,+18,375,"4,267",,3,0.10,"140,293",102
27,2020-04-06,Denmark,"4,681",+312,187 ,+8,"1,378","3,116",144,808,32,"52,936","9,139"
28,2020-04-06,Poland,"4,413",+311,107 ,+13,162,"4,144",50,117,3,"85,467","2,258"
29,2020-04-06,Romania,"4,057",+193,176 ,+25,406,"3,475",179,211,9,"40,987","2,131"
30,2020-04-06,Japan,"3,906",+252,92 ,+7,592,"3,222",64,31,0.7,"46,172",365
31,2020-04-06,Malaysia,"3,793",+131,62 ,+1,"1,241","2,490",102,117,2,"55,566","1,717"
32,2020-04-06,Pakistan,"3,766",+609,53 ,+6,259,"3,454",17,17,0.2,"35,875",162
33,2020-04-06,Ecuador,"3,747",+101,191 ,+11,100,"3,456",156,212,11,"13,039",739
34,2020-04-06,Philippines,"3,660",+414,163 ,+11,73,"3,424",1,33,1,"22,958",210
