,Date,Country,Total_cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious,Tot_cases_per_1M_population,Total_Deaths_per_1M_population,Total Test,Test test/1M Population,Continent
0,2020-04-23,"
Asia
","435,276","+12,989","16,212",+358,"205,025","214,039","6,030",,,,,Asia
1,2020-04-23,"
North America
","954,132","+35,396","53,971","+2,648","105,347","794,814","16,260",,,,,North America
2,2020-04-23,"
Europe
","1,193,276","+28,925","114,259","+3,057","376,038","702,979","26,669",,,,,Europe
3,2020-04-23,"
South America
","103,328","+6,667","5,073",+498,"43,653","54,602","9,511",,,,,South America
4,2020-04-23,"
Oceania
","8,219",+21,91,+3,"6,171","1,957",49,,,,,Australia/Oceania
5,2020-04-23,"
Africa
","28,092","+1,436","1,298",+54,"8,534","18,260",173,,,,,Africa
6,2020-04-23,"

",721,,15,,645,61,4,,,,,
7,2020-04-23,World,"2,723,044","+85,434","190,919","+6,618","745,413","1,786,712","58,696",349,24.5,,,All
8,2020-04-23,China,"82,798",+10,"4,632 ",,"77,207",959,63,58,3,,,Asia
9,2020-04-23,USA,"886,442","+31,900","50,236 ","+2,342","85,922","750,284","14,997","2,678",152,"4,696,704","14,189",North America
10,2020-04-23,Spain,"213,024","+4,635","22,157 ",+440,"89,250","101,617","7,705","4,556",474,"930,230","19,896",Europe
11,2020-04-23,Italy,"189,973","+2,646","25,549 ",+464,"57,576","106,848","2,267","3,142",423,"1,579,909","26,131",Europe
12,2020-04-23,France,"158,183","+2,239","21,856 ",+516,"42,088","94,239","5,053","2,423",335,"463,662","7,103",Europe
13,2020-04-23,Germany,"153,129","+2,481","5,575 ",+260,"103,300","44,254","2,908","1,828",67,"2,072,669","24,738",Europe
14,2020-04-23,UK,"138,078","+4,583","18,738 ",+638,N/A,"118,996","1,559","2,034",276,"583,496","8,595",Europe
15,2020-04-23,Turkey,"101,790","+3,116","2,491 ",+115,"18,491","80,808","1,816","1,207",30,"791,906","9,390",Asia
16,2020-04-23,Iran,"87,026","+1,030","5,481 ",+90,"64,843","16,702","3,105","1,036",65,"389,507","4,637",Asia
17,2020-04-23,Russia,"62,773","+4,774",555 ,+42,"4,891","57,327","2,300",430,4,"2,401,616","16,457",Europe
18,2020-04-23,Brazil,"49,492","+3,735","3,313 ",+407,"26,573","19,606","8,318",233,16,"291,922","1,373",South America
19,2020-04-23,Belgium,"42,797",+908,"6,490 ",+228,"9,800","26,507",993,"3,693",560,"179,666","15,502",Europe
20,2020-04-23,Canada,"42,110","+1,920","2,147 ",+173,"14,761","25,202",557,"1,116",57,"620,101","16,430",North America
21,2020-04-23,Netherlands,"35,729",+887,"4,177 ",+123,N/A,"31,302","1,008","2,085",244,"187,000","10,913",Europe
22,2020-04-23,Switzerland,"28,496",+228,"1,549 ",+40,"20,600","6,347",386,"3,293",179,"227,554","26,293",Europe
23,2020-04-23,India,"23,039","+1,669",721 ,+40,"5,012","17,306",,17,0.5,"500,542",363,Asia
24,2020-04-23,Portugal,"22,353",+371,820 ,+35,"1,201","20,332",204,"2,192",80,"300,525","29,473",Europe
25,2020-04-23,Peru,"20,914","+1,664",572 ,+42,"7,422","12,920",396,634,17,"185,238","5,618",South America
