,Date,Country,Total_cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious,Tot_cases_per_1M_population,Total_Deaths_per_1M_population,Total Test,Test test/1M Population,Continent
0,2020-04-30,"
Asia
","520,050","+12,722","18,610",+333,"265,535","235,905","5,729",,,,,Asia
1,2020-04-30,"
North America
","1,185,074","+34,148","69,519","+2,573","188,950","926,605","16,485",,,,,North America
2,2020-04-30,"
Europe
","1,373,444","+26,064","135,235","+2,288","503,728","734,481","18,773",,,,,Europe
3,2020-04-30,"
South America
","176,814","+11,000","8,702",+558,"60,095","108,017","9,802",,,,,South America
4,2020-04-30,"
Oceania
","8,332",+10,111,+3,"7,035","1,186",37,,,,,Australia/Oceania
5,2020-04-30,"
Africa
","39,785","+2,093","1,638",+46,"13,070","25,077",126,,,,,Africa
6,2020-04-30,"

",721,,15,,645,61,4,,,,,
7,2020-04-30,World,"3,304,220","+86,037","233,830","+5,801","1,039,058","2,031,332","50,956",424,30.0,,,All
8,2020-04-30,China,"82,862",+4,"4,633 ",,"77,610",619,41,58,3,,,Asia
9,2020-04-30,USA,"1,095,023","+30,829","63,856 ","+2,201","152,324","878,843","15,226","3,308",193,"6,391,887","19,311",North America
10,2020-04-30,Spain,"239,639","+2,740","24,543 ",+268,"137,984","77,112","2,676","5,125",525,"1,455,306","31,126",Europe
11,2020-04-30,Italy,"205,463","+1,872","27,967 ",+285,"75,945","101,551","1,694","3,398",463,"1,979,217","32,735",Europe
12,2020-04-30,UK,"171,253","+6,032","26,771 ",+674,N/A,"144,138","1,559","2,523",394,"901,905","13,286",Europe
13,2020-04-30,France,"167,178",+758,"24,376 ",+289,"49,476","93,326","4,019","2,561",373,"724,574","11,101",Europe
14,2020-04-30,Germany,"163,009","+1,470","6,623 ",+156,"123,500","32,886","2,415","1,946",79,"2,547,052","30,400",Europe
15,2020-04-30,Turkey,"120,204","+2,615","3,174 ",+93,"48,886","68,144","1,514","1,425",38,"1,033,617","12,255",Asia
16,2020-04-30,Russia,"106,498","+7,099","1,073 ",+101,"11,619","93,806","2,300",730,7,"3,490,000","23,915",Europe
17,2020-04-30,Iran,"94,640",+983,"6,028  ",+71,"75,103","13,509","2,976","1,127",72,"463,295","5,516",Asia
