,Date,Country,Total_cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious,Tot_cases_per_1M_population,Total_Deaths_per_1M_population,Total Test,Test test/1M Population,Continent
0,2020-04-12,"
Asia
","298,736","+11,552","11,002",+405,"146,508","141,226","6,609",,,,,Asia
1,2020-04-12,"
North America
","598,295","+29,346","23,476","+1,684","42,223","532,596","12,761",,,,,North America
2,2020-04-12,"
Europe
","881,110","+28,211","76,768","+3,143","221,548","582,794","29,929",,,,,Europe
3,2020-04-12,"
South America
","50,581","+2,513","2,081",+134,"5,681","42,819","1,206",,,,,South America
4,2020-04-12,"
Oceania
","7,732",+30,63,+3,"3,810","3,859",87,,,,,Australia/Oceania
5,2020-04-12,"
Africa
","15,082",+862,791,+46,"2,922","11,369",174,,,,,Africa
6,2020-04-12,"

",721,,13,,619,89,10,,,,,
7,2020-04-12,World,"1,852,257","+72,514","114,194","+5,415","423,311","1,314,752","50,776",238,14.7,,,All
8,2020-04-12,China,"82,052",+99,"3,339 ",,"77,575","1,138",139,57,2,,,Asia
9,2020-04-12,USA,"560,300","+27,421","22,105 ","+1,528","32,634","505,561","11,766","1,693",67,"2,832,258","8,557",North America
10,2020-04-12,Spain,"166,831","+3,804","17,209 ",+603,"62,391","87,231","7,371","3,568",368,"355,000","7,593",Europe
11,2020-04-12,Italy,"156,363","+4,092","19,899 ",+431,"34,211","102,253","3,343","2,586",329,"1,010,193","16,708",Europe
12,2020-04-12,France,"132,591","+2,937","14,393 ",+561,"27,186","91,012","6,845","2,031",221,"333,807","5,114",Europe
13,2020-04-12,Germany,"127,854","+2,402","3,022 ",+151,"60,300","64,532","4,895","1,526",36,"1,317,887","15,730",Europe
14,2020-04-12,UK,"84,279","+5,288","10,612 ",+737,N/A,"73,323","1,559","1,241",156,"352,974","5,200",Europe
15,2020-04-12,Iran,"71,686","+1,657","4,474 ",+117,"43,894","23,318","3,930",853,53,"263,388","3,136",Asia
16,2020-04-12,Turkey,"56,956","+4,789","1,198 ",+97,"3,446","52,312","1,665",675,14,"376,100","4,459",Asia
17,2020-04-12,Belgium,"29,647","+1,629","3,600 ",+254,"6,463","19,584","1,223","2,558",311,"102,151","8,814",Europe
18,2020-04-12,Netherlands,"25,587","+1,174","2,737 ",+94,250,"22,600","1,384","1,493",160,"101,534","5,926",Europe
19,2020-04-12,Switzerland,"25,415",+308,"1,106 ",+70,"12,700","11,609",386,"2,937",128,"193,800","22,393",Europe
20,2020-04-12,Canada,"24,383","+1,065",717 ,+64,"7,172","16,494",557,646,19,"422,200","11,186",North America
