,Date,Country,Total cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot cases per 1M population,Total Deaths per 1M population,1st Case
65,2020-03-29,Lithuania,394,+36,7 ,+2,1,386,2,145,3,"
Feb 27 "
66,2020-03-29,Ukraine,356,+46,9 ,+4,5,342,,8,0.2,"
Mar 02 "
67,2020-03-29,Hungary,343,+43,11 ,+1,34,298,6,36,1,"
Mar 03 "
68,2020-03-29,Bulgaria,331,+38,7 ,+4,11,313,8,48,1,"
Mar 06 "
69,2020-03-29,Andorra,308,+41,3 ,,1,304,10,"3,986",39,"
Mar 01 "
70,2020-03-29,Latvia,305,+25, ,,1,304,3,162,,"
Mar 01 "
71,2020-03-29,Uruguay,304,+66,1 ,+1,,303,9,88,0.3,"
Mar 12 "
72,2020-03-29,Costa Rica,295,+32,2 ,,3,290,6,58,0.4,"
Mar 04 "
73,2020-03-29,Slovakia,292,+23, ,,2,290,1,53,,"
Mar 05 "
74,2020-03-29,Taiwan,283,+16,2 ,,30,251,,12,0.08,"
Jan 20 "
75,2020-03-29,Tunisia,278,+51,8 ,+1,2,268,10,24,0.7,"
Mar 01 "
76,2020-03-29,Bosnia and Herzegovina,278,+41,6 ,+2,8,264,1,85,2,"
Mar 04 "
77,2020-03-29,Jordan,246,+11,1 ,,18,227,3,24,0.10,"
Mar 01 "
78,2020-03-29,North Macedonia,241,+22,4 ,+1,3,234,1,116,2,"
Feb 25 "
79,2020-03-29,Kuwait,235,+10, ,,64,171,11,55,,"
Feb 23 "
80,2020-03-29,Moldova,231,+32,2 ,,2,227,33,57,0.5,"
Mar 06 "
81,2020-03-29,Kazakhstan,228,+78,1 ,,16,211,,12,0.05,"
Mar 12 "
82,2020-03-29,San Marino,224,+1,22 ,+1,6,196,16,"6,602",648,"
Feb 26 "
83,2020-03-29,Burkina Faso,207,+27,11 ,+2,21,175,,10,0.5,"
Mar 08 "
84,2020-03-29,Albania,197,+11,10 ,+2,31,156,3,68,3,"
Mar 07 "
85,2020-03-29,Réunion,183,+38, ,,1,182,,204,,"
Mar 10 "
86,2020-03-29,Azerbaijan,182,+17,4 ,+1,15,163,23,18,0.4,"
Feb 27 "
87,2020-03-29,Cyprus,179,+17,5 ,,15,159,3,148,4,"
Mar 08 "
88,2020-03-29,Vietnam,174,+11, ,,21,153,3,2,,"
Jan 22 "
89,2020-03-29,Faeroe Islands,155,+11, ,,54,101,2,"3,172",,"
Mar 03 "
90,2020-03-29,Oman,152,+21, ,,23,129,,30,,"
Feb 23 "
91,2020-03-29,Malta,149,+10, ,,2,147,1,337,,"
Mar 06 "
92,2020-03-29,Ghana,141,+4,5 ,+1,2,134,1,5,0.2,"
Mar 11 "
93,2020-03-29,Senegal,130,+11, ,,18,112,,8,,"
Mar 01 "
94,2020-03-29,Brunei ,120,+5,1 ,+1,25,94,1,274,2,"
Mar 08 "
95,2020-03-29,Cuba,119,+39,3 ,+1,4,112,2,11,0.3,"
Mar 10 "
96,2020-03-29,Venezuela,119,+6,2 ,,39,78,2,4,0.07,"
Mar 12 "
97,2020-03-29,Sri Lanka,113,+7,1 ,+1,9,103,5,5,0.05,"
Jan 26 "
98,2020-03-29,Afghanistan,110,,4 ,,2,104,,3,0.1,"
Feb 23 "
99,2020-03-29,Uzbekistan,104,+16,2 ,+1,5,97,8,3,0.06,"
Mar 14 "
100,2020-03-29,Palestine,104,+13,1 ,,18,85,,20,0.2,"
Mar 04 "
101,2020-03-29,Guadeloupe,102,+29,2 ,+1,17,83,4,255,5,"
Mar 12 "
102,2020-03-29,Mauritius,102,+8,2 ,,,100,1,80,2,"
Mar 17 "
103,2020-03-29,Ivory Coast,101,, ,,3,98,,4,,"
Mar 10 "
104,2020-03-29,Cambodia,99,, ,,13,86,1,6,,"
Jan 26 "
105,2020-03-29,Channel Islands,97,+9,1 ,,,96,,558,6,"
Mar 08 "
106,2020-03-29,Nigeria,97,+27,1 ,,3,93,,0.5,0.00,"
Feb 27 "
107,2020-03-29,Honduras,95,+27,1 ,,3,91,4,10,0.1,"
Mar 10 "
108,2020-03-29,Belarus,94,, ,,32,62,2,10,,"
Feb 27 "
109,2020-03-29,Martinique,93,,1 ,,,92,12,248,3,"
Mar 04 "
110,2020-03-29,Cameroon,91,,2 ,,2,87,,3,0.08,"
Mar 05 "
111,2020-03-29,Georgia,90,+7, ,,14,76,1,23,,"
Feb 25 "
112,2020-03-29,Montenegro,84,+2,1 ,,,83,1,134,2,"
Mar 16 "
113,2020-03-29,Trinidad and Tobago,76,+10,3 ,+1,1,72,,54,2,"
Mar 11 "
114,2020-03-29,Bolivia,74,+13, ,,,74,,6,,"
Mar 09 "
115,2020-03-29,DRC,65,+14,6 ,+3,2,57,,0.7,0.07,"
Mar 09 "
116,2020-03-29,Mayotte,63,+13, ,,,63,,231,,"
Mar 13 "
117,2020-03-29,Rwanda,60,+6, ,,,60,,5,,"
Mar 13 "
118,2020-03-29,Kyrgyzstan,58,, ,,,58,,9,,"
Mar 17 "
119,2020-03-29,Paraguay,56,+4,3 ,,1,52,1,8,0.4,"
Mar 06 "
120,2020-03-29,Gibraltar,56,+1, ,,14,42,,"1,662",,"
Mar 02 "
121,2020-03-29,Liechtenstein,56,, ,,,56,,"1,469",,"
Mar 02 "
122,2020-03-29,Bangladesh,48,,5 ,,15,28,1,0.3,0.03,"
Mar 07 "
123,2020-03-29,Aruba,46,+13, ,,1,45,,431,,"
Mar 12 "
124,2020-03-29,Monaco,42,, ,,1,41,,"1,070",,"
Feb 27 "
125,2020-03-29,Kenya,38,+7,1 ,,1,36,2,0.7,0.02,"
Mar 12  "
126,2020-03-29,Guatemala,34,+6,1 ,,10,23,1,2,0.06,"
Mar 12 "
127,2020-03-29,Macao,34,, ,,10,24,,52,,"
Jan 21 "
128,2020-03-29,Isle of Man,32,+3, ,,,32,,376,,"
Mar 18 "
129,2020-03-29,Jamaica,30,+4,1 ,,2,27,,10,0.3,"
Mar 09 "
130,2020-03-29,French Polynesia,30,, ,,,30,,107,,"
Mar 10 "
131,2020-03-29,Uganda,30,+7, ,,,30,,0.7,,"
Mar 20 "
132,2020-03-29,French Guiana,28,, ,,6,22,,94,,"
Mar 06 "
133,2020-03-29,Zambia,28,+6, ,,,28,,2,,"
Mar 17 "
134,2020-03-29,Barbados,26,, ,,,26,,90,,"
Mar 16 "
135,2020-03-29,Madagascar,26,, ,,,26,,0.9,,"
Mar 19 "
136,2020-03-29,Togo,25,,1 ,,1,23,,3,0.1,"
Mar 05 "
137,2020-03-29,El Salvador,19,+6, ,,,19,,3,,"
Mar 18 "
138,2020-03-29,Mali,18,+7,1 ,+1,,17,,0.9,0.05,"
Mar 24 "
139,2020-03-29,Bermuda,17,, ,,2,15,,273,,"
Mar 17 "
140,2020-03-29,Ethiopia,16,, ,,1,15,,0.1,,"
Mar 12 "
141,2020-03-29,Maldives,16,, ,,9,7,,30,,"
Mar 06 "
142,2020-03-29,New Caledonia,15,, ,,,15,,53,,"
Mar 17 "
143,2020-03-29,Djibouti,14,+2, ,,,14,,14,,"
Mar 17 "
144,2020-03-29,Tanzania,14,+1, ,,1,13,,0.2,,"
Mar 15 "
145,2020-03-29,Equatorial Guinea,12,, ,,,12,,9,,"
Mar 13 "
146,2020-03-29,Mongolia,12,+1, ,,,12,,4,,"
Mar 09 "
147,2020-03-29,Dominica,11,, ,,,11,,153,,"
Mar 21 "
148,2020-03-29,Saint Martin,11,, ,,,11,,284,,"
Feb 29 "
149,2020-03-29,Niger,10,,1 ,,,9,,0.4,0.04,"
Mar 18 "
150,2020-03-29,Bahamas,10,, ,,1,9,,25,,"
 Mar 14 "
151,2020-03-29,Greenland,10,, ,,2,8,,176,,"
Mar 15 "
152,2020-03-29,Eswatini,9,, ,,,9,,8,,"
Mar 13 "
153,2020-03-29,Cayman Islands,8,,1 ,,,7,,122,15,"
Mar 12 "
154,2020-03-29,Curaçao,8,,1 ,,2,5,,49,6,"
Mar 12 "
155,2020-03-29,Guyana,8,+3,1 ,,,7,,10,1,"
Mar 11 "
156,2020-03-29,Guinea,8,, ,,,8,,0.6,,"
Mar 12 "
157,2020-03-29,Haiti,8,, ,,,8,,0.7,,"
Mar 19 "
158,2020-03-29,Laos,8,+2, ,,,8,,1,,"
Mar 23 "
159,2020-03-29,Mozambique,8,+1, ,,,8,,0.3,,"
Mar 21 "
160,2020-03-29,Myanmar,8,, ,,,8,,0.1,,"
Mar 22 "
161,2020-03-29,Namibia,8,, ,,2,6,,3,,"
Mar 13 "
162,2020-03-29,Seychelles,8,+1, ,,,8,,81,,"
Mar 13 "
163,2020-03-29,Suriname,8,, ,,,8,,14,,"
Mar 12 "
164,2020-03-29,Gabon,7,,1 ,,,6,,3,0.4,"
Mar 12 "
165,2020-03-29,Zimbabwe,7,+2,1 ,,,6,,0.5,0.07,"
Mar 19 "
166,2020-03-29,Antigua and Barbuda,7,, ,,,7,,71,,"
Mar 12 "
167,2020-03-29,Grenada,7,, ,,,7,,62,,"
Mar 21 "
168,2020-03-29,Cabo Verde,6,+1,1 ,,,5,,11,2,"
Mar 19 "
169,2020-03-29,Benin,6,, ,,,6,,0.5,,"
Mar 15 "
170,2020-03-29,Eritrea,6,, ,,,6,,2,,"
Mar 20 "
171,2020-03-29,Vatican City,6,+2, ,,,6,,"7,491",,"
Mar 05 "
172,2020-03-29,Sudan,5,+2,1 ,,,4,,0.1,0.02,"
Mar 12 "
173,2020-03-29,Nepal,5,+1, ,,1,4,,0.2,,"
Jan 23 "
174,2020-03-29,Angola,5,+1, ,,,5,,0.2,,"
Mar 19 "
175,2020-03-29,Fiji,5,, ,,,5,,6,,"
Mar 18 "
176,2020-03-29,Mauritania,5,+2, ,,,5,,1,,"
Mar 12 "
177,2020-03-29,Montserrat,5,, ,,,5,,"1,002",,"
Mar 17 "
178,2020-03-29,St. Barth,5,, ,,,5,,506,,"
Feb 29 "
179,2020-03-29,Syria,5,, ,,,5,,0.3,,"
Mar 21 "
180,2020-03-29,Nicaragua,4,,1 ,,,3,,0.6,0.2,"
Mar 18 "
181,2020-03-29,Congo,4,, ,,,4,,0.7,,"
Mar 14 "
182,2020-03-29,Turks and Caicos,4,+2, ,,,4,,103,,"
Mar 22 "
183,2020-03-29,Gambia,3,,1 ,,,2,,1,0.4,"
Mar 16 "
184,2020-03-29,Bhutan,3,, ,,,3,,4,,"
Mar 05 "
185,2020-03-29,CAR,3,, ,,,3,,0.6,,"
Mar 14 "
186,2020-03-29,Chad,3,, ,,,3,,0.2,,"
Mar 18 "
187,2020-03-29,Liberia,3,, ,,,3,,0.6,,"
Mar 15 "
188,2020-03-29,Libya,3,+2, ,,,3,,0.4,,"
Mar 23 "
189,2020-03-29,Saint Lucia,3,, ,,1,2,,16,,"
Mar 12 "
190,2020-03-29,Sint Maarten,3,, ,,,3,,70,,"
Mar 17 "
191,2020-03-29,Somalia,3,, ,,,3,,0.2,,"
Mar 15 "
192,2020-03-29,MS Zaandam,2,, ,,,2,,,,"
Mar 26 "
193,2020-03-29,Anguilla,2,, ,,,2,,133,,"
Mar 25 "
194,2020-03-29,Belize,2,, ,,,2,,5,,"
Mar 22 "
195,2020-03-29,British Virgin Islands,2,, ,,,2,,66,,"
Mar 24 "
196,2020-03-29,Guinea-Bissau,2,, ,,,2,,1,,"
Mar 24 "
197,2020-03-29,Saint Kitts and Nevis,2,, ,,,2,,38,,"
Mar 24 "
198,2020-03-29,Papua New Guinea,1,, ,,,1,,0.1,,"
Mar 19 "
199,2020-03-29,St. Vincent Grenadines,1,, ,,1,0,,9,,"
Mar 10 "
200,2020-03-29,Timor-Leste,1,, ,,,1,,0.8,,"
Mar 20 "
201,2020-03-29,Total:,"663,078","+66,766","30,856","+3,515","141,476","490,746","25,351",85.1,4.0,"
 
"
