,Date,Country,Total cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot cases per 1M population,Total Deaths per 1M population,1st Case
0,2020-03-29,China,"81,394",+54,"3,295 ",+3,"74,971","3,128",886,57,2,"
Jan 10 "
1,2020-03-29,USA,"123,578","+19,452","2,221 ",+525,"3,231","118,126","2,666",373,7,"
Jan 20 "
2,2020-03-29,Italy,"92,472","+5,974","10,023 ",+889,"12,384","70,065","3,856","1,529",166,"
Jan 29 "
3,2020-03-29,Spain,"73,235","+7,516","5,982 ",+844,"12,285","54,968","4,165","1,566",128,"
Jan 30 "
4,2020-03-29,Germany,"57,695","+6,824",433 ,+82,"8,481","48,781","1,581",689,5,"
Jan 26 "
5,2020-03-29,France,"37,575","+4,611","2,314 ",+319,"5,700","29,561","4,273",576,35,"
Jan 23 "
6,2020-03-29,Iran,"35,408","+3,076","2,517 ",+139,"11,679","21,212","3,206",422,30,"
Feb 18 "
7,2020-03-29,UK,"17,089","+2,546","1,019 ",+260,135,"15,935",163,252,15,"
Jan 30 "
8,2020-03-29,Switzerland,"14,076","+1,148",264 ,+33,"1,530","12,282",301,"1,626",31,"
Feb 24 "
9,2020-03-29,Netherlands,"9,762","+1,159",639 ,+93,3,"9,120",914,570,37,"
Feb 26 "
10,2020-03-29,S. Korea,"9,478",+146,144 ,+5,"4,811","4,523",59,185,3,"
Jan 19 "
11,2020-03-29,Belgium,"9,134","+1,850",353 ,+64,"1,063","7,718",789,788,30,"
Feb 03 "
12,2020-03-29,Austria,"8,271",+574,68 ,+10,225,"7,978",135,918,8,"
Feb 24 "
13,2020-03-29,Turkey,"7,402","+1,704",108 ,+16,70,"7,224",445,88,1,"
Mar 09 "
14,2020-03-29,Canada,"5,655",+898,60 ,+5,396,"5,199",120,150,2,"
Jan 24  "
15,2020-03-29,Portugal,"5,170",+902,100 ,+24,43,"5,027",89,507,10,"
Mar 01 "
16,2020-03-29,Norway,"4,015",+244,23 ,+4,7,"3,985",84,741,4,"
Feb 25 "
17,2020-03-29,Brazil,"3,904",+487,114 ,+22,6,"3,784",296,18,0.5,"
Feb 24 "
18,2020-03-29,Australia,"3,635",+257,14 ,+1,170,"3,451",23,143,0.5,"
Jan 24 "
19,2020-03-29,Israel,"3,619",+584,12 ,,89,"3,518",50,418,1,"
Feb 20 "
20,2020-03-29,Sweden,"3,447",+378,105 ,,16,"3,326",239,341,10,"
Jan 30 "
21,2020-03-29,Czechia,"2,631",+352,11 ,+2,11,"2,609",45,246,1,"
Feb 29 "
22,2020-03-29,Ireland,"2,415",+294,36 ,+14,5,"2,374",59,489,7,"
Feb 28 "
23,2020-03-29,Malaysia,"2,320",+159,27 ,+1,320,"1,973",54,72,0.8,"
Jan 24 "
24,2020-03-29,Denmark,"2,201",+155,65 ,+13,1,"2,135",109,380,11,"
Feb 26 "
25,2020-03-29,Chile,"1,909",+299,6 ,+1,61,"1,842",7,100,0.3,"
Mar 02 "
26,2020-03-29,Luxembourg,"1,831",+226,18 ,+3,40,"1,773",25,"2,925",29,"
Feb 28 "
27,2020-03-29,Ecuador,"1,823",+196,48 ,+7,3,"1,772",58,103,3,"
Feb 28 "
28,2020-03-29,Japan,"1,693",+194,52 ,+3,404,"1,237",56,13,0.4,"
Jan 14 "
29,2020-03-29,Poland,"1,638",+249,18 ,+2,7,"1,613",3,43,0.5,"
Mar 03 "
30,2020-03-29,Pakistan,"1,495",+122,12 ,+1,29,"1,454",7,7,0.05,"
Feb 25 "
31,2020-03-29,Romania,"1,452",+160,37 ,+11,139,"1,276",34,75,2,"
Feb 25 "
32,2020-03-29,Russia,"1,264",+228,4  ,,49,"1,211",8,9,0.03,"
Jan 30 "
33,2020-03-29,Thailand,"1,245",+109,6 ,+1,97,"1,142",11,18,0.09,"
Jan 12 "
34,2020-03-29,Saudi Arabia,"1,203",+99,4 ,+1,37,"1,162",6,35,0.1,"
Mar 01 "
35,2020-03-29,South Africa,"1,187",+17,1 ,,31,"1,155",7,20,0.02,"
Mar 04 "
36,2020-03-29,Finland,"1,167",+126,9 ,+2,10,"1,148",32,211,2,"
Jan 28 "
37,2020-03-29,Indonesia,"1,155",+109,102 ,+15,59,994,,4,0.4,"
Mar 01 "
38,2020-03-29,Philippines,"1,075",+272,68 ,+14,35,972,1,10,0.6,"
Jan 29 "
39,2020-03-29,Greece,"1,061",+95,32 ,+4,52,977,66,102,3,"
Feb 25 "
40,2020-03-29,India,987,+100,24 ,+4,84,879,,0.7,0.02,"
Jan 29 "
41,2020-03-29,Iceland,963,+73,2 ,,114,847,18,"2,822",6,"
Feb 27 "
42,2020-03-29,Panama,901,+115,17 ,+3,4,880,32,209,4,"
Mar 09 "
43,2020-03-29,Singapore,802,+70,2 ,,198,602,19,137,0.3,"
Jan 22 "
44,2020-03-29,Argentina,745,+156,19 ,+6,72,654,,16,0.4,"
Mar 02 "
45,2020-03-29,Dominican Republic,719,+138,28 ,+8,3,688,,66,3,"
Feb 29 "
46,2020-03-29,Mexico,717,+132,12 ,+4,4,701,1,6,0.09,"
Feb 27 "
47,2020-03-29,Diamond Princess,712,,10 ,,597,105,15,,,"
Feb 04 "
48,2020-03-29,Slovenia,684,+52,9 ,,10,665,25,329,4,"
Mar 03 "
49,2020-03-29,Peru,671,+36,16 ,+5,16,639,33,20,0.5,"
Mar 05 "
50,2020-03-29,Serbia,659,+131,10 ,+2,42,607,25,75,1,"
Mar 05 "
51,2020-03-29,Croatia,657,+71,5 ,+2,45,607,14,160,1,"
Feb 24 "
52,2020-03-29,Estonia,645,+70,1 ,,20,624,10,486,0.8,"
Feb 26 "
53,2020-03-29,Colombia,608,+69,6 ,,10,592,,12,0.1,"
Mar 05 "
54,2020-03-29,Qatar,590,+28,1 ,+1,45,544,6,205,0.3,"
Feb 28 "
55,2020-03-29,Egypt,576,+40,36 ,+6,121,419,,6,0.4,"
Feb 13 "
56,2020-03-29,Hong Kong,560,+41,4 ,,112,444,5,75,0.5,"
Jan 22 "
57,2020-03-29,New Zealand,514,+146,1 ,+1,56,457,1,107,0.2,"
Feb 27 "
58,2020-03-29,Iraq,506,+48,42 ,+2,131,333,,13,1,"
Feb 21 "
59,2020-03-29,Bahrain,476,+10,4 ,,265,207,1,280,2,"
Feb 23 "
60,2020-03-29,UAE,468,+63,2 ,,52,414,2,47,0.2,"
Jan 28 "
61,2020-03-29,Algeria,454,+45,29 ,+3,31,394,,10,0.7,"
Feb 24 "
62,2020-03-29,Lebanon,412,+21,8 ,,30,374,4,60,1,"
Feb 20 "
63,2020-03-29,Armenia,407,+78,1 ,,30,376,6,137,0.3,"
Feb 29 "
64,2020-03-29,Morocco,402,+57,25 ,+2,12,365,1,11,0.7,"
Mar 01 "
