,Date,Country,Total_cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious,Tot_cases_per_1M_population,Total_Deaths_per_1M_population,Total Test,Test test/1M Population,Continent
0,2020-04-26,"
Asia
","472,267","+11,603","17,243",+292,"228,083","226,941","6,050",,,,,Asia
1,2020-04-26,"
North America
","1,064,603","+29,589","59,955","+1,356","146,046","858,602","16,402",,,,,North America
2,2020-04-26,"
Europe
","1,276,808","+24,311","121,885","+1,767","436,194","718,729","25,260",,,,,Europe
3,2020-04-26,"
South America
","137,920","+6,771","6,289",+285,"49,653","81,978","9,699",,,,,South America
4,2020-04-26,"
Oceania
","8,286",+29,101,+3,"6,772","1,413",45,,,,,Australia/Oceania
5,2020-04-26,"
Africa
","32,657","+1,555","1,427",+48,"10,018","21,212",140,,,,,Africa
6,2020-04-26,"

",721,,15,,645,61,4,,,,,
7,2020-04-26,World,"2,993,262","+73,858","206,915","+3,751","877,411","1,908,936","57,600",384,26.5,,,All
8,2020-04-26,China,"82,827",+11,"4,632 ",,"77,394",801,51,58,3,,,Asia
9,2020-04-26,USA,"987,160","+26,509","55,413 ","+1,157","118,781","812,966","15,143","2,982",167,"5,470,464","16,527",North America
10,2020-04-26,Spain,"226,629","+2,870","23,190 ",+288,"117,727","85,712","7,764","4,847",496,"1,199,548","25,656",Europe
11,2020-04-26,Italy,"197,675","+2,324","26,644 ",+260,"64,928","106,103","2,009","3,269",441,"1,757,659","29,071",Europe
12,2020-04-26,France,"162,100",+612,"22,856 ",+242,"44,903","94,341","4,682","2,483",350,"463,662","7,103",Europe
13,2020-04-26,Germany,"157,770","+1,257","5,976 ",+99,"112,000","39,794","2,570","1,883",71,"2,072,669","24,738",Europe
14,2020-04-26,UK,"152,840","+4,463","20,732 ",+413,N/A,"131,764","1,559","2,251",305,"669,850","9,867",Europe
15,2020-04-26,Turkey,"110,130","+2,357","2,805 ",+99,"29,140","78,185","1,776","1,306",33,"898,742","10,656",Asia
16,2020-04-26,Iran,"90,481","+1,153","5,710 ",+60,"69,657","15,114","3,079","1,077",68,"421,313","5,016",Asia
17,2020-04-26,Russia,"80,949","+6,361",747 ,+66,"6,767","73,435","2,300",555,5,"2,877,699","19,719",Europe
18,2020-04-26,Brazil,"62,859","+3,663","4,271 ",+226,"30,152","28,436","8,318",296,20,"291,922","1,373",South America
19,2020-04-26,Canada,"46,895","+1,541","2,560 ",+95,"17,321","27,014",557,"1,243",68,"691,663","18,326",North America
20,2020-04-26,Belgium,"46,134",+809,"7,094 ",+177,"10,785","28,255",891,"3,981",612,"189,067","16,313",Europe
21,2020-04-26,Netherlands,"37,845",+655,"4,475 ",+66,N/A,"33,120",934,"2,209",261,"193,950","11,319",Europe
22,2020-04-26,Switzerland,"29,061",+167,"1,610 ",+11,"21,800","5,651",204,"3,358",186,"245,300","28,343",Europe
23,2020-04-26,India,"27,890","+1,607",881 ,+56,"6,523","20,486",,20,0.6,"625,309",453,Asia
24,2020-04-26,Peru,"27,517","+2,186",728  ,+28,"8,088","18,701",554,835,22,"232,747","7,059",South America
25,2020-04-26,Portugal,"23,864",+472,903 ,+23,"1,329","21,632",182,"2,340",89,"330,512","32,414",Europe
26,2020-04-26,Ecuador,"22,719",,576 ,,"1,366","20,777",127,"1,288",33,"56,513","3,203",South America
27,2020-04-26,Ireland,"19,262",+701,"1,087 ",+24,"9,233","8,942",142,"3,901",220,"127,319","25,785",Europe
28,2020-04-26,Sweden,"18,640",+463,"2,194 ",+2,"1,005","15,441",399,"1,846",217,"94,500","9,357",Europe
29,2020-04-26,Saudi Arabia,"17,522","+1,223",139 ,+3,"2,357","15,026",115,503,4,"200,000","5,745",Asia
30,2020-04-26,Israel,"15,443",+145,201 ,+2,"6,731","8,511",133,"1,784",23,"302,691","34,971",Asia
31,2020-04-26,Austria,"15,225",+77,542 ,+6,"12,282","2,401",145,"1,690",60,"227,631","25,274",Europe
32,2020-04-26,Mexico,"13,842",+970,"1,305 ",+84,"7,149","5,388",378,107,10,"65,500",508,North America
33,2020-04-26,Singapore,"13,624",+931,12 ,,"1,060","12,552",22,"2,329",2,"121,774","20,815",Asia
34,2020-04-26,Japan,"13,441",+210,372 ,+12,"1,809","11,260",296,106,3,"149,074","1,179",Asia
35,2020-04-26,Chile,"13,331",+473,189 ,+8,"7,024","6,118",418,697,10,"155,975","8,159",South America
36,2020-04-26,Pakistan,"13,328",+605,281 ,+12,"2,936","10,111",111,60,1,"144,365",654,Asia
37,2020-04-26,Poland,"11,617",+344,535 ,+11,"2,265","8,817",160,307,14,"290,633","7,679",Europe
38,2020-04-26,Romania,"11,036",+401,619 ,+18,"3,054","7,363",236,574,32,"136,518","7,096",Europe
39,2020-04-26,S. Korea,"10,728",+10,242 ,+2,"8,717","1,769",55,209,5,"598,285","11,669",Asia
40,2020-04-26,Belarus,"10,463",+873,72 ,+5,"1,695","8,696",92,"1,107",8,"147,525","15,612",Europe
41,2020-04-26,UAE,"10,349",+536,76 ,+5,"1,978","8,295",1,"1,046",8,"1,057,326","106,904",Asia
42,2020-04-26,Qatar,"10,287",+929,10 ,,"1,012","9,265",72,"3,571",3,"82,289","28,562",Asia
43,2020-04-26,Indonesia,"8,882",+275,743 ,+23,"1,107","7,032",,32,3,"72,099",264,Asia
44,2020-04-26,Ukraine,"8,617",+492,209 ,+8,840,"7,568",107,197,5,"89,373","2,044",Europe
45,2020-04-26,Denmark,"8,575",+130,422 ,+4,"5,805","2,348",70,"1,480",73,"146,915","25,364",Europe
46,2020-04-26,Serbia,"8,042",+263,156 ,+5,"1,182","6,704",85,920,18,"64,303","7,360",Europe
47,2020-04-26,Philippines,"7,579",+285,501 ,+7,862,"6,216",1,69,5,"84,789",774,Asia
48,2020-04-26,Norway,"7,527",+34,201 ,,32,"7,294",49,"1,388",37,"155,125","28,614",Europe
49,2020-04-26,Czechia,"7,404",+52,220 ,+2,"2,545","4,639",79,691,21,"215,116","20,087",Europe
50,2020-04-26,Australia,"6,716",+21,83 ,+3,"5,560","1,073",42,263,3,"510,974","20,038",Australia/Oceania
51,2020-04-26,Dominican Republic,"6,135",+209,278 ,+5,910,"4,947",144,566,26,"22,498","2,074",North America
52,2020-04-26,Malaysia,"5,780",+38,98 ,,"3,862","1,820",36,179,3,"131,491","4,063",Asia
53,2020-04-26,Panama,"5,538",+200,159 ,+5,338,"5,041",85,"1,283",37,"25,400","5,887",North America
54,2020-04-26,Bangladesh,"5,416",+418,145 ,+5,122,"5,149",1,33,0.9,"46,589",283,Asia
55,2020-04-26,Colombia,"5,379",+237,244 ,+11,"1,133","4,002",117,106,5,"87,199","1,714",South America
56,2020-04-26,Finland,"4,576",+101,190 ,+4,"2,500","1,886",62,826,34,"80,300","14,493",Europe
