0,Date,Country,Total0cases,New0Cases,Total0Deaths,New0Deaths,Total0Recovered,Active0Cases,Serious,Tot0cases0per01M0population,Total0Deaths0per01M0population
58,4/2/2020,Hong0Kong,802,36,4,0,154,644,8,107,0.5
59,4/2/2020,New0Zealand,797,89,1,0,92,704,2,165,0.2
60,4/2/2020,Iraq,772,44,54,2,202,516,0,19,1
61,4/2/2020,Diamond0Princess,712,0,11,0,619,82,10,0,0
62,4/2/2020,Morocco,708,54,44,5,31,633,1,19,1
63,4/2/2020,Armenia,663,92,7,3,33,623,30,224,2
64,4/2/2020,Lithuania,649,68,9,1,7,633,11,238,3
65,4/2/2020,Bahrain,643,74,4,0,381,258,3,378,2
66,4/2/2020,Hungary,585,60,21,1,42,522,17,61,2
67,4/2/2020,Bosnia0and0Herzegovina,533,74,16,3,20,497,4,162,5
68,4/2/2020,Moldova,505,82,6,1,23,476,65,125,1
69,4/2/2020,Lebanon,494,15,16,2,46,432,3,72,2
70,4/2/2020,Latvia,458,12,0,0,31,427,3,243,0
71,4/2/2020,Bulgaria,457,35,10,0,25,422,18,66,1
72,4/2/2020,Tunisia,455,32,14,2,5,436,10,38,1
73,4/2/2020,Kazakhstan,435,55,3,0,27,405,6,23,0.2
74,4/2/2020,Andorra,428,38,15,1,10,403,12,"5,539",194
75,4/2/2020,Slovakia,426,26,1,0,5,420,3,78,0.2
76,4/2/2020,Azerbaijan,400,41,5,0,26,369,7,39,0.5
77,4/2/2020,Costa0Rica,396,21,2,0,6,388,11,78,0.4
78,4/2/2020,North0Macedonia,384,30,11,0,17,356,4,184,5
79,4/2/2020,Cyprus,356,36,10,1,28,318,11,295,8
80,4/2/2020,Uruguay,350,0,4,2,62,284,15,101,1
81,4/2/2020,Kuwait,342,25,0,0,81,261,15,80,0
82,4/2/2020,Taiwan,339,10,5,0,50,284,0,14,0.2
83,4/2/2020,Réunion,308,27,0,0,40,268,3,344,0
84,4/2/2020,Cameroon,306,73,7,1,10,289,0,12,0.3
85,4/2/2020,Belarus,304,141,4,2,53,247,11,32,0.4
86,4/2/2020,Jordan,299,21,5,0,45,249,5,29,0.5
87,4/2/2020,Burkina0Faso,288,6,16,0,50,222,0,14,0.8
88,4/2/2020,Albania,277,18,16,1,76,185,7,96,6
89,4/2/2020,Afghanistan,273,36,6,2,10,257,0,7,0.2
90,4/2/2020,San0Marino,245,9,30,2,21,194,15,"7,221",884
91,4/2/2020,Cuba,233,21,6,0,13,214,7,21,0.5
92,4/2/2020,Vietnam,233,15,0,0,75,158,3,2,0
93,4/2/2020,Oman,231,21,1,0,57,173,3,45,0.2
94,4/2/2020,Honduras,219,47,14,4,3,202,4,22,1
95,4/2/2020,Uzbekistan,205,24,2,0,25,178,8,6,0.06
96,4/2/2020,Ghana,204,9,5,0,31,168,2,7,0.2
97,4/2/2020,Malta,196,8,0,0,2,194,2,444,0
98,4/2/2020,Senegal,195,5,1,0,55,139,0,12,0.06
99,4/2/2020,Ivory0Coast,194,4,1,0,15,178,0,7,0.04
100,4/2/2020,Channel0Islands,193,21,3,0,0,190,0,"1,110",17
101,4/2/2020,Nigeria,184,10,2,0,20,162,0,0.9,0.01
102,4/2/2020,Faeroe0Islands,177,4,0,0,81,96,1,"3,622",0
103,4/2/2020,Mauritius,169,8,7,1,0,162,1,133,6
104,4/2/2020,Palestine,161,27,1,0,18,142,0,32,0.2
105,4/2/2020,Sri0Lanka,151,5,4,1,21,126,5,7,0.2
106,4/2/2020,Venezuela,146,2,5,2,43,98,6,5,0.2
107,4/2/2020,Montenegro,144,21,2,0,0,142,4,229,3
108,4/2/2020,Martinique,138,3,3,0,27,108,19,368,8
109,4/2/2020,DRC,134,25,13,4,3,118,0,1,0.1
110,4/2/2020,Georgia,134,17,0,0,26,108,6,34,0
111,4/2/2020,Brunei0,133,2,1,0,56,76,3,304,2
112,4/2/2020,Guadeloupe,128,3,6,0,24,98,14,320,15
113,4/2/2020,Bolivia,123,8,8,1,1,114,3,11,0.7
114,4/2/2020,Mayotte,116,15,1,0,10,105,3,425,4
115,4/2/2020,Kyrgyzstan,116,5,0,0,5,111,5,18,0
116,4/2/2020,Kenya,110,29,3,2,4,103,2,2,0.06
117,4/2/2020,Cambodia,110,1,0,0,34,76,1,7,0
118,4/2/2020,Niger,98,24,5,0,0,93,0,4,0.2
119,4/2/2020,Isle0of0Man,95,27,1,0,0,94,0,"1,117",12
120,4/2/2020,Trinidad0and0Tobago,94,4,5,0,1,88,0,67,4
121,4/2/2020,Gibraltar,88,7,0,0,46,42,0,"2,612",0
122,4/2/2020,Rwanda,84,2,0,0,0,84,0,6,0
123,4/2/2020,Paraguay,77,8,3,0,2,72,4,11,0.4
124,4/2/2020,Liechtenstein,75,3,0,0,0,75,0,"1,967",0
125,4/2/2020,Monaco,60,5,1,0,2,57,2,"1,529",25
126,4/2/2020,Aruba,60,5,0,0,1,59,0,562,0
127,4/2/2020,Madagascar,59,2,0,0,0,59,6,2,0
128,4/2/2020,Bangladesh,56,2,6,0,25,25,1,0.3,0.04
129,4/2/2020,Guinea,52,22,0,0,0,52,0,4,0
130,4/2/2020,French0Guiana,51,0,0,0,15,36,0,171,0
131,4/2/2020,Jamaica,47,3,3,0,2,42,0,16,1
132,4/2/2020,Guatemala,47,8,1,0,12,34,1,3,0.06
133,4/2/2020,Barbados,46,1,0,0,0,46,0,160,0
134,4/2/2020,Uganda,45,1,0,0,0,45,0,1,0
135,4/2/2020,El0Salvador,41,8,2,0,0,39,4,6,0.3
136,4/2/2020,Macao,41,0,0,0,10,31,0,63,0
137,4/2/2020,Djibouti,40,7,0,0,0,40,0,40,0
138,4/2/2020,Togo,39,3,2,0,17,20,0,5,0.2
139,4/2/2020,Zambia,39,3,1,1,0,38,0,2,0.05
140,4/2/2020,French0Polynesia,37,0,0,0,0,37,1,132,0
141,4/2/2020,Mali,36,5,3,0,0,33,0,2,0.1
142,4/2/2020,Bermuda,35,3,0,0,11,24,0,562,0
143,4/2/2020,Ethiopia,29,0,0,0,3,26,2,0.3,0
144,4/2/2020,Cayman0Islands,28,6,1,0,0,27,0,426,15
145,4/2/2020,Bahamas,24,3,1,0,1,22,0,61,3
146,4/2/2020,Congo,22,0,2,0,2,18,0,4,0.4
147,4/2/2020,Saint0Martin,22,0,1,0,2,19,0,569,26
148,4/2/2020,Eritrea,22,7,0,0,0,22,0,6,0
149,4/2/2020,Gabon,21,3,1,0,0,20,0,9,0.4
150,4/2/2020,Myanmar,20,4,1,0,0,19,0,0.4,0.02
151,4/2/2020,Tanzania,20,0,1,0,2,17,0,0.3,0.02
152,4/2/2020,Guyana,19,0,4,1,0,15,0,24,5
153,4/2/2020,Maldives,19,0,0,0,13,6,0,35,0
154,4/2/2020,Sint0Maarten,18,2,1,0,6,11,0,420,23
155,4/2/2020,New0Caledonia,18,2,0,0,1,17,0,63,0
156,4/2/2020,Syria,16,6,2,0,0,14,0,0.9,0.1
157,4/2/2020,Haiti,16,0,0,0,1,15,0,1,0
158,4/2/2020,Equatorial0Guinea,15,0,0,0,1,14,0,11,0
159,4/2/2020,Mongolia,14,0,0,0,2,12,0,4,0
160,4/2/2020,Namibia,14,0,0,0,3,11,0,6,0
161,4/2/2020,Benin,13,0,0,0,1,12,0,1,0
162,4/2/2020,Saint0Lucia,13,0,0,0,1,12,0,71,0
163,4/2/2020,Dominica,12,0,0,0,0,12,0,167,0
164,4/2/2020,Curaçao,11,0,1,0,3,7,0,67,6
165,4/2/2020,Libya,11,1,1,1,0,10,0,2,0.1
166,4/2/2020,Greenland,10,0,0,0,2,8,0,176,0
167,4/2/2020,Grenada,10,1,0,0,0,10,0,89,0
168,4/2/2020,Laos,10,0,0,0,0,10,0,1,0
169,4/2/2020,Mozambique,10,0,0,0,0,10,0,0.3,0
170,4/2/2020,Seychelles,10,0,0,0,0,10,0,102,0
171,4/2/2020,Suriname,10,0,0,0,0,10,0,17,0
172,4/2/2020,MS0Zaandam,9,0,2,0,0,7,0,0,0
173,4/2/2020,Zimbabwe,9,1,1,0,0,8,0,0.6,0.07
174,4/2/2020,Antigua0and0Barbuda,9,2,0,0,0,9,0,92,0
175,4/2/2020,Guinea-Bissau,9,0,0,0,0,9,0,5,0
176,4/2/2020,Saint0Kitts0and0Nevis,9,1,0,0,0,9,0,169,0
177,4/2/2020,Eswatini,9,0,0,0,0,9,0,8,0
178,4/2/2020,Angola,8,0,2,0,1,5,0,0.2,0.06
179,4/2/2020,Sudan,8,1,2,0,2,4,0,0.2,0.05
180,4/2/2020,Chad,8,1,0,0,0,8,0,0.5,0
181,4/2/2020,Fiji,7,2,0,0,0,7,0,8,0
182,4/2/2020,Vatican0City,7,1,0,0,0,7,0,"8,739",0
183,4/2/2020,Cabo0Verde,6,0,1,0,0,5,0,11,2
184,4/2/2020,Mauritania,6,0,1,0,2,3,0,1,0.2
185,4/2/2020,Nepal,6,1,0,0,1,5,0,0.2,0
186,4/2/2020,Liberia,6,0,0,0,0,6,0,1,0
187,4/2/2020,St.0Barth,6,0,0,0,1,5,0,607,0
188,4/2/2020,Nicaragua,5,0,1,0,0,4,0,0.8,0.2
189,4/2/2020,Bhutan,5,1,0,0,1,4,0,6,0
190,4/2/2020,Montserrat,5,0,0,0,0,5,0,"1,002",0
191,4/2/2020,Somalia,5,0,0,0,1,4,0,0.3,0
192,4/2/2020,Turks0and0Caicos,5,0,0,0,0,5,0,129,0
193,4/2/2020,Botswana,4,0,1,0,0,3,0,2,0.4
194,4/2/2020,Gambia,4,0,1,0,2,1,0,2,0.4
195,4/2/2020,Anguilla,3,1,0,0,0,3,0,200,0
196,4/2/2020,Belize,3,0,0,0,0,3,0,8,0
197,4/2/2020,British0Virgin0Islands,3,0,0,0,0,3,0,99,0
198,4/2/2020,Burundi,3,1,0,0,0,3,0,0.3,0
199,4/2/2020,CAR,3,0,0,0,0,3,0,0.6,0
200,4/2/2020,Malawi,3,3,0,0,0,3,0,0.2,0
201,4/2/2020,Caribbean0Netherlands,2,0,0,0,0,2,0,76,0
202,4/2/2020,St.0Vincent0Grenadines,2,0,0,0,1,1,0,18,0
203,4/2/2020,Sierra0Leone,2,0,0,0,0,2,0,0.3,0
204,4/2/2020,Papua0New0Guinea,1,0,0,0,0,1,0,0.1,0
205,4/2/2020,Timor-Leste,1,0,0,0,0,1,0,0.8,0
206,4/2/2020,Total:,"1,014,943","79,747","53,166","5,974","212,018","749,759","37,698",130.2,6.8
