0,Date,Country,Total0cases,New0Cases,Total0Deaths,New0Deaths,Total0Recovered,Active0Cases,Serious,Tot0cases0per01M0population,Total0Deaths0per01M0population
0,4/2/2020,China,"81,589",35,"3,318",6,"76,408","1,863",429,57,2
1,4/2/2020,USA,"244,877","29,874","6,070",968,"10,403","228,404","5,421",740,18
2,4/2/2020,Italy,"115,242","4,668","13,915",760,"18,278","83,049","4,053","1,906",230
3,4/2/2020,Spain,"112,065","7,947","10,348",961,"26,743","74,974","6,092","2,397",221
4,4/2/2020,Germany,"84,794","6,813","1,107",176,"22,440","61,247","3,936","1,012",13
5,4/2/2020,France,"59,105","2,116","5,387","1,355","12,428","41,290","6,399",905,83
6,4/2/2020,Iran,"50,468","2,875","3,160",124,"16,711","30,597","3,956",601,38
7,4/2/2020,UK,"33,718","4,244","2,921",569,135,"30,662",163,497,43
8,4/2/2020,Switzerland,"18,827","1,059",536,48,"4,013","14,278",348,"2,175",62
9,4/2/2020,Turkey,"18,135","2,456",356,79,415,"17,364","1,101",215,4
10,4/2/2020,Belgium,"15,348","1,384","1,011",183,"2,495","11,842","1,144","1,324",87
11,4/2/2020,Netherlands,"14,697","1,083","1,339",166,250,"13,108","1,053",858,78
12,4/2/2020,Canada,"11,283","1,552",173,59,"1,979","9,131",120,299,5
13,4/2/2020,Austria,"11,129",418,158,12,"1,749","9,222",227,"1,236",18
14,4/2/2020,S.0Korea,"9,976",89,169,4,"5,828","3,979",55,195,3
15,4/2/2020,Portugal,"9,034",783,209,22,68,"8,757",230,886,20
16,4/2/2020,Brazil,"8,044","1,164",324,82,127,"7,593",296,38,2
17,4/2/2020,Israel,"6,857",765,36,10,338,"6,483",107,792,4
18,4/2/2020,Sweden,"5,568",621,308,69,103,"5,157",429,551,30
19,4/2/2020,Australia,"5,314",266,25,2,585,"4,704",50,208,1
20,4/2/2020,Norway,"5,147",270,50,6,32,"5,065",96,949,9
21,4/2/2020,Czechia,"3,858",269,44,5,67,"3,747",72,360,4
22,4/2/2020,Ireland,"3,849",402,98,13,5,"3,746",109,779,20
23,4/2/2020,Russia,"3,548",771,30,6,235,"3,283",8,24,0.2
24,4/2/2020,Chile,"3,404",373,18,2,335,"3,051",31,178,0.9
25,4/2/2020,Denmark,"3,386",279,123,19,"1,089","2,174",153,585,21
26,4/2/2020,Ecuador,"3,163",405,120,22,65,"2,978",100,179,7
27,4/2/2020,Malaysia,"3,116",208,50,5,767,"2,299",105,96,2
28,4/2/2020,Poland,"2,946",392,57,14,56,"2,833",50,78,2
29,4/2/2020,Romania,"2,738",278,115,23,267,"2,356",78,142,6
30,4/2/2020,Philippines,"2,633",322,107,11,51,"2,475",1,24,1
31,4/2/2020,India,"2,543",545,72,14,191,"2,280",0,2,0.05
32,4/2/2020,Japan,"2,495",111,62,5,472,"1,961",60,20,0.5
33,4/2/2020,Luxembourg,"2,487",168,30,1,80,"2,377",31,"3,973",48
34,4/2/2020,Pakistan,"2,421",303,34,7,125,"2,262",9,11,0.2
35,4/2/2020,Saudi0Arabia,"1,885",165,21,5,328,"1,536",31,54,0.6
36,4/2/2020,Thailand,"1,875",104,15,3,505,"1,355",23,27,0.2
37,4/2/2020,Indonesia,"1,790",113,170,13,112,"1,508",0,7,0.6
38,4/2/2020,Greece,"1,544",129,53,2,61,"1,430",91,148,5
39,4/2/2020,Finland,"1,518",72,19,2,300,"1,199",65,274,3
40,4/2/2020,Panama,"1,475",158,37,5,9,"1,429",50,342,9
41,4/2/2020,South0Africa,"1,462",82,5,0,50,"1,407",7,25,0.08
42,4/2/2020,Peru,"1,414",91,55,17,537,822,51,43,2
43,4/2/2020,Dominican0Republic,"1,380",96,60,3,16,"1,304",147,127,6
44,4/2/2020,Mexico,"1,378",163,37,8,35,"1,306",1,11,0.3
45,4/2/2020,Iceland,"1,319",99,4,2,284,"1,031",12,"3,865",12
46,4/2/2020,Argentina,"1,265",132,36,4,256,973,0,28,0.8
47,4/2/2020,Serbia,"1,171",111,31,3,42,"1,098",81,134,4
48,4/2/2020,Colombia,"1,161",96,19,2,55,"1,087",50,23,0.4
49,4/2/2020,Singapore,"1,049",49,4,1,266,779,24,179,0.7
50,4/2/2020,UAE,"1,024",210,8,0,96,920,2,104,0.8
51,4/2/2020,Croatia,"1,011",48,7,1,88,916,34,246,2
52,4/2/2020,Algeria,986,139,86,28,61,839,0,22,2
53,4/2/2020,Qatar,949,114,3,1,72,874,37,329,1
54,4/2/2020,Ukraine,897,103,22,2,19,856,0,21,0.5
55,4/2/2020,Slovenia,897,56,17,2,70,810,31,431,8
56,4/2/2020,Egypt,865,86,58,6,201,606,0,8,0.6
57,4/2/2020,Estonia,858,79,11,6,45,802,16,647,8
