,Date,Country,Total_cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious,Tot_cases_per_1M_population,Total_Deaths_per_1M_population,Total Test,Test test/1M Population,Continent
0,2020-04-15,"
Asia
","333,197","+11,846","12,068",+344,"160,069","161,060","6,478",,,,,Asia
1,2020-04-15,"
North America
","688,644","+32,565","30,377","+2,690","60,717","597,550","14,595",,,,,North America
2,2020-04-15,"
Europe
","970,757","+33,469","88,319","+4,601","257,966","624,472","28,603",,,,,Europe
3,2020-04-15,"
South America
","63,302","+5,613","2,797",+286,"22,378","38,127","1,218",,,,,South America
4,2020-04-15,"
Oceania
","7,924",+67,72,+2,"4,415","3,437",81,,,,,Australia/Oceania
5,2020-04-15,"
Africa
","17,827",+955,913,+37,"3,862","13,052",178,,,,,Africa
6,2020-04-15,"

",721,,14,,639,68,7,,,,,
7,2020-04-15,World,"2,082,372","+84,515","134,560","+7,960","510,046","1,437,766","51,160",267,17.3,,,All
8,2020-04-15,China,"82,295",+46,"3,342 ",+1,"77,816","1,137",113,57,2,,,Asia
9,2020-04-15,USA,"644,089","+30,206","28,529 ","+2,482","48,701","566,859","13,487","1,946",86,"3,258,879","9,845",North America
10,2020-04-15,Spain,"180,659","+6,599","18,812 ",+557,"70,853","90,994","7,371","3,864",402,"650,755","13,918",Europe
11,2020-04-15,Italy,"165,155","+2,667","21,645 ",+578,"38,092","105,418","3,079","2,732",358,"1,117,404","18,481",Europe
12,2020-04-15,France,"147,863","+4,560","17,167 ","+1,438","30,955","99,741","6,457","2,265",263,"333,807","5,114",Europe
13,2020-04-15,Germany,"134,753","+2,543","3,804 ",+309,"72,600","58,349","4,288","1,608",45,"1,728,357","20,629",Europe
14,2020-04-15,UK,"98,476","+4,603","12,868 ",+761,N/A,"85,264","1,559","1,451",190,"398,916","5,876",Europe
15,2020-04-15,Iran,"76,389","+1,512","4,777 ",+94,"49,933","21,679","3,643",909,57,"299,204","3,562",Asia
16,2020-04-15,Turkey,"69,392","+4,281","1,518 ",+115,"5,674","62,200","1,820",823,18,"477,716","5,664",Asia
17,2020-04-15,Belgium,"33,573","+2,454","4,440 ",+283,"7,107","22,026","1,204","2,897",383,"128,132","11,056",Europe
18,2020-04-15,Brazil,"28,610","+3,348","1,757 ",+225,"14,026","12,827",296,135,8,"62,985",296,South America
19,2020-04-15,Canada,"28,379","+1,316","1,010 ",+107,"8,979","18,390",557,752,27,"467,736","12,393",North America
20,2020-04-15,Netherlands,"28,153",+734,"3,134 ",+189,250,"24,769","1,279","1,643",183,"140,845","8,220",Europe
21,2020-04-15,Switzerland,"26,336",+400,"1,239 ",+65,"15,400","9,697",386,"3,043",143,"199,000","22,993",Europe
22,2020-04-15,Russia,"24,490","+3,388",198 ,+28,"1,986","22,306",8,168,1,"1,517,992","10,402",Europe
23,2020-04-15,Portugal,"18,091",+643,599 ,+32,383,"17,109",208,"1,774",59,"208,314","20,430",Europe
24,2020-04-15,Austria,"14,350",+124,393 ,+9,"8,098","5,859",232,"1,593",44,"156,801","17,410",Europe
25,2020-04-15,Ireland,"12,547","+1,068",444 ,+38,77,"12,026",158,"2,541",90,"90,646","18,358",Europe
26,2020-04-15,Israel,"12,501",+455,130 ,+7,"2,563","9,808",180,"1,444",15,"117,339","13,557",Asia
27,2020-04-15,India,"12,370",+883,422 ,+29,"1,508","10,440",,9,0.3,"244,893",177,Asia
28,2020-04-15,Sweden,"11,927",+482,"1,203 ",+170,381,"10,343",954,"1,181",119,"74,600","7,387",Europe
29,2020-04-15,Peru,"11,475","+1,172",254 ,+24,"3,108","8,113",146,348,8,"109,385","3,318",South America
30,2020-04-15,S. Korea,"10,591",+27,225 ,+3,"7,616","2,750",55,207,4,"534,552","10,426",Asia
31,2020-04-15,Japan,"8,626",+741,178 ,+32,901,"7,547",168,68,1,"94,236",745,Asia
32,2020-04-15,Chile,"8,273",+356,94 ,+2,"2,937","5,242",389,433,5,"91,873","4,806",South America
33,2020-04-15,Ecuador,"7,858",+255,388 ,+19,780,"6,690",135,445,22,"26,093","1,479",South America
34,2020-04-15,Poland,"7,582",+380,286 ,+23,668,"6,628",160,200,8,"156,493","4,135",Europe
35,2020-04-15,Romania,"7,216",+337,372 ,+21,"1,217","5,627",245,375,19,"74,827","3,890",Europe
36,2020-04-15,Norway,"6,797",+174,150 ,+11,32,"6,615",64,"1,254",28,"130,216","24,020",Europe
37,2020-04-15,Denmark,"6,681",+170,309 ,+10,"2,748","3,624",89,"1,153",53,"77,712","13,417",Europe
38,2020-04-15,Australia,"6,447",+47,63 ,+2,"3,686","2,698",76,253,2,"371,377","14,564",Australia/Oceania
39,2020-04-15,Pakistan,"6,383",+546,111 ,+15,"1,446","4,826",46,29,0.5,"73,439",332,Asia
40,2020-04-15,Czechia,"6,301",+190,166 ,+5,819,"5,316",84,588,16,"137,672","12,856",Europe
41,2020-04-15,Saudi Arabia,"5,862",+493,79 ,+6,931,"4,852",71,168,2,"150,000","4,309",Asia
42,2020-04-15,Philippines,"5,453",+230,349 ,+14,353,"4,751",1,50,3,"45,486",415,Asia
43,2020-04-15,Mexico,"5,399",+385,406 ,+74,"2,125","2,868",207,42,3,"40,091",311,North America
44,2020-04-15,UAE,"5,365",+432,33 ,+5,"1,034","4,298",1,542,3,"767,000","77,550",Asia
45,2020-04-15,Indonesia,"5,136",+297,469 ,+10,446,"4,221",,19,2,"36,000",132,Asia
46,2020-04-15,Malaysia,"5,072",+85,83 ,+1,"2,647","2,342",56,157,3,"87,183","2,694",Asia
