,Date,Country,Total_cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious,Tot_cases_per_1M_population,Total_Deaths_per_1M_population,Total Test,Test test/1M Population,Continent
0,2020-04-14,"
Asia
","321,351","+11,111","11,724",+373,"155,723","153,904","6,492",,,,,Asia
1,2020-04-14,"
North America
","656,082","+29,018","27,687","+2,575","49,816","578,579","14,580",,,,,North America
2,2020-04-14,"
Europe
","937,288","+29,902","83,717","+3,728","243,117","610,454","29,107",,,,,Europe
3,2020-04-14,"
South America
","57,689","+2,995","2,511",+263,"21,614","33,564","1,163",,,,,South America
4,2020-04-14,"
Oceania
","7,857",+58,70,+4,"4,227","3,560",85,,,,,Australia/Oceania
5,2020-04-14,"
Africa
","16,872",+928,876,+38,"3,343","12,653",178,,,,,Africa
6,2020-04-14,"

",721,,14,,639,68,7,,,,,
7,2020-04-14,World,"1,997,860","+74,012","126,599","+6,981","478,479","1,392,782","51,612",256,16.2,,,All
8,2020-04-14,China,"82,249",+89,"3,341 ",,"77,738","1,170",116,57,2,,,Asia
9,2020-04-14,USA,"613,886","+26,945","26,047 ","+2,407","38,820","549,019","13,473","1,855",79,"3,065,019","9,260",North America
10,2020-04-14,Spain,"174,060","+3,961","18,255 ",+499,"67,504","88,301","7,371","3,723",390,"600,000","12,833",Europe
11,2020-04-14,Italy,"162,488","+2,972","21,067 ",+602,"37,130","104,291","3,186","2,687",348,"1,073,689","17,758",Europe
12,2020-04-14,France,"143,303","+6,524","15,729 ",+762,"28,805","98,769","6,730","2,195",241,"333,807","5,114",Europe
13,2020-04-14,Germany,"132,210","+2,138","3,495 ",+301,"68,200","60,515","4,288","1,578",42,"1,317,887","15,730",Europe
14,2020-04-14,UK,"93,873","+5,252","12,107 ",+778,N/A,"81,422","1,559","1,383",178,"382,650","5,637",Europe
15,2020-04-14,Iran,"74,877","+1,574","4,683 ",+98,"48,129","22,065","3,691",891,56,"287,359","3,421",Asia
16,2020-04-14,Turkey,"65,111","+4,062","1,403 ",+107,"4,799","58,909","1,809",772,17,"443,626","5,260",Asia
17,2020-04-14,Belgium,"31,119",+530,"4,157 ",+254,"6,868","20,094","1,223","2,685",359,"102,151","8,814",Europe
18,2020-04-14,Netherlands,"27,419",+868,"2,945 ",+122,250,"24,224","1,358","1,600",172,"134,972","7,877",Europe
19,2020-04-14,Canada,"27,063","+1,383",903 ,+123,"8,235","17,925",557,717,24,"450,717","11,942",North America
20,2020-04-14,Switzerland,"25,936",+248,"1,174 ",+36,"13,700","11,062",386,"2,997",136,"199,000","22,993",Europe
21,2020-04-14,Brazil,"25,262","+1,832","1,532 ",+204,"14,026","9,704",296,119,7,"62,985",296,South America
22,2020-04-14,Russia,"21,102","+2,774",170 ,+22,"1,694","19,238",8,145,1,"1,400,000","9,593",Europe
23,2020-04-14,Portugal,"17,448",+514,567 ,+32,347,"16,534",218,"1,711",56,"191,680","18,798",Europe
24,2020-04-14,Austria,"14,226",+185,384 ,+16,"7,633","6,209",243,"1,580",43,"151,796","16,854",Europe
25,2020-04-14,Israel,"12,046",+460,123 ,+7,"2,195","9,728",175,"1,392",14,"117,339","13,557",Asia
26,2020-04-14,India,"11,487","+1,034",393 ,+35,"1,359","9,735",,8,0.3,"244,893",177,Asia
27,2020-04-14,Ireland,"11,479",+832,406 ,+41,25,"11,048",194,"2,325",82,"90,646","18,358",Europe
28,2020-04-14,Sweden,"11,445",+497,"1,033 ",+114,381,"10,031",915,"1,133",102,"54,700","5,416",Europe
29,2020-04-14,S. Korea,"10,564",+27,222 ,+5,"7,534","2,808",55,206,4,"527,438","10,288",Asia
30,2020-04-14,Peru,"10,303",+519,230 ,+14,"2,869","7,204",132,312,7,"102,216","3,100",South America
31,2020-04-14,Chile,"7,917",+392,92 ,+10,"2,646","5,179",387,414,5,"87,794","4,593",South America
32,2020-04-14,Japan,"7,885",+267,146 ,+3,853,"6,886",152,62,1,"89,551",708,Asia
33,2020-04-14,Ecuador,"7,603",+74,369 ,+14,696,"6,538",129,431,21,"25,347","1,437",South America
34,2020-04-14,Poland,"7,202",+268,263 ,+18,618,"6,321",160,190,7,"148,321","3,919",Europe
35,2020-04-14,Romania,"6,879",+246,351 ,+20,"1,051","5,477",241,358,18,"70,097","3,644",Europe
36,2020-04-14,Norway,"6,623",+20,139 ,+5,32,"6,452",59,"1,222",26,"128,569","23,716",Europe
37,2020-04-14,Denmark,"6,511",+193,299 ,+14,"2,515","3,697",100,"1,124",52,"74,210","12,812",Europe
38,2020-04-14,Australia,"6,400",+41,61 ,,"3,598","2,741",80,251,2,"366,493","14,372",Australia/Oceania
39,2020-04-14,Czechia,"6,111",+52,161 ,+18,642,"5,308",92,571,15,"131,542","12,283",Europe
40,2020-04-14,Pakistan,"5,837",+341,96 ,+3,"1,378","4,363",46,26,0.4,"69,928",317,Asia
41,2020-04-14,Saudi Arabia,"5,369",+435,73 ,+8,889,"4,407",59,154,2,"150,000","4,309",Asia
42,2020-04-14,Philippines,"5,223",+291,335 ,+20,295,"4,593",1,48,3,"43,500",397,Asia
43,2020-04-14,Mexico,"5,014",+353,332 ,+36,"1,964","2,718",207,39,3,"37,395",290,North America
44,2020-04-14,Malaysia,"4,987",+170,82 ,+5,"2,478","2,427",60,154,3,"84,791","2,620",Asia
45,2020-04-14,UAE,"4,933",+412,28 ,+3,933,"3,972",1,499,3,"648,195","65,538",Asia
46,2020-04-14,Indonesia,"4,839",+282,459 ,+60,426,"3,954",,18,2,"31,628",116,Asia
47,2020-04-14,Serbia,"4,465",+411,94 ,+9,400,"3,971",131,511,11,"23,398","2,678",Europe
48,2020-04-14,Panama,"3,574",+102,95 ,+1,72,"3,407",106,828,22,"16,053","3,720",North America
49,2020-04-14,Qatar,"3,428",+197,7 ,,373,"3,048",37,"1,190",2,"52,622","18,265",Asia
50,2020-04-14,Ukraine,"3,372",+270,98 ,+5,119,"3,155",45,77,2,"35,153",804,Europe
51,2020-04-14,Luxembourg,"3,307",+15,67 ,,500,"2,740",30,"5,283",107,"29,523","47,163",Europe
52,2020-04-14,Dominican Republic,"3,286",+119,183 ,+6,162,"2,941",143,303,17,"9,275",855,North America
53,2020-04-14,Belarus,"3,281",+362,33 ,+4,203,"3,045",57,347,3,"71,875","7,606",Europe
54,2020-04-14,Singapore,"3,252",+334,10 ,+1,611,"2,631",29,556,2,"72,680","12,423",Asia
55,2020-04-14,Finland,"3,161",+97,64 ,+5,300,"2,797",74,571,12,"47,290","8,535",Europe
56,2020-04-14,Colombia,"2,979",+127,127 ,+15,354,"2,498",106,59,2,"43,053",846,South America
57,2020-04-14,Thailand,"2,613",+34,41 ,+1,"1,405","1,167",61,37,0.6,"100,498","1,440",Asia
58,2020-04-14,South Africa,"2,415",+143,27 ,,410,"1,978",7,41,0.5,"87,022","1,467",Africa
59,2020-04-14,Egypt,"2,350",+160,178 ,+14,589,"1,583",,23,2,"25,000",244,Africa
60,2020-04-14,Argentina,"2,277",,102 ,+4,559,"1,616",83,50,2,"22,805",505,South America
61,2020-04-14,Greece,"2,170",+25,101 ,+2,269,"1,800",76,208,10,"48,798","4,682",Europe
62,2020-04-14,Algeria,"2,070",+87,326 ,+13,691,"1,053",60,47,7,"3,359",77,Africa
63,2020-04-14,Moldova,"1,934",+222,40 ,+5,134,"1,760",80,479,10,"6,271","1,555",Europe
64,2020-04-14,Morocco,"1,888",+125,126 ,,217,"1,545",1,51,3,"9,609",260,Africa
65,2020-04-14,Iceland,"1,720",+9,8 ,,989,723,8,"5,040",23,"36,339","106,490",Europe
