,Date,Country,Total_cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious,Tot_cases_per_1M_population,Total_Deaths_per_1M_population,Total Test,Test test/1M Population
64,2020-04-07,Lithuania,880,+37,15 ,,8,857,11,323,6,"27,807","10,215"
65,2020-04-07,Belarus,861,+161,13 ,,54,794,31,91,1,"43,000","4,551"
66,2020-04-07,Armenia,853,+20,8 ,,87,758,30,288,3,"5,140","1,735"
67,2020-04-07,Hungary,817,+73,47 ,+9,71,699,17,85,5,"23,746","2,458"
68,2020-04-07,Bahrain,811,+55,5 ,+1,458,348,4,477,3,"47,684","28,023"
69,2020-04-07,Bosnia and Herzegovina,764,+90,33 ,+4,68,663,4,233,10,"6,911","2,106"
70,2020-04-07,Kuwait,743,+78,1 ,,105,637,23,174,0.2,,
71,2020-04-07,Azerbaijan,717,+76,8 ,+1,44,665,23,71,0.8,"53,300","5,257"
72,2020-04-07,Diamond Princess,712,,11 ,,619,82,10,,,,
73,2020-04-07,Kazakhstan,697,+35,6 ,,51,640,16,37,0.3,"54,767","2,917"
74,2020-04-07,Cameroon,685,+27,9 ,,60,616,,26,0.3,,
75,2020-04-07,Tunisia,623,+27,23 ,+1,25,575,39,53,2,"8,274",700
76,2020-04-07,North Macedonia,599,+29,26 ,+3,30,543,15,288,12,"5,879","2,822"
77,2020-04-07,Slovakia,581,+47,2 ,,13,566,3,106,0.4,"17,639","3,231"
78,2020-04-07,Bulgaria,577,+28,23 ,+1,42,512,21,83,3,"15,899","2,288"
79,2020-04-07,Lebanon,548,+7,19 ,,62,467,29,80,3,"10,221","1,497"
80,2020-04-07,Latvia,548,+6,2 ,+1,16,530,5,291,1,"22,575","11,969"
81,2020-04-07,Andorra,545,+20,22 ,+1,39,484,17,"7,054",285,"1,673","21,653"
82,2020-04-07,Uzbekistan,520,+63,2 ,,30,488,8,16,0.06,,
83,2020-04-07,Cyprus,494,+29,9 ,,47,438,13,409,7,"13,017","10,781"
84,2020-04-07,Costa Rica,483,+16,2 ,,24,457,14,95,0.4,"5,525","1,085"
85,2020-04-07,Uruguay,424,+9,7 ,+1,150,267,14,122,2,"5,727","1,649"
86,2020-04-07,Afghanistan,423,+56,14 ,+3,18,391,,11,0.4,,
87,2020-04-07,Cuba,396,+46,11 ,+2,27,358,15,35,1.0,"7,054",623
88,2020-04-07,Burkina Faso,384,+20,19 ,+1,127,238,,18,0.9,,
89,2020-04-07,Albania,383,+6,22 ,+1,131,230,7,133,8,"2,753",957
90,2020-04-07,Taiwan,376,+3,5 ,,61,310,,16,0.2,"40,702","1,709"
91,2020-04-07,Oman,371,+40,2 ,,67,302,3,73,0.4,,
92,2020-04-07,Réunion,358,+9, ,,40,318,4,400,,,
93,2020-04-07,Jordan,353,+4,6 ,,138,209,5,35,0.6,"17,000","1,666"
94,2020-04-07,Ivory Coast,349,+26,3 ,,41,305,,13,0.1,,
95,2020-04-07,Channel Islands,335,+12,7 ,,34,294,,"1,927",40,"1,157","6,655"
96,2020-04-07,Honduras,305,+7,22 ,,6,277,10,31,2,,
97,2020-04-07,Malta,293,+52, ,,5,288,4,664,,"10,923","24,738"
98,2020-04-07,Ghana,287,+73,5 ,,31,251,2,9,0.2,,
99,2020-04-07,San Marino,279,+2,34 ,+2,40,205,14,"8,223","1,002",586,"17,270"
100,2020-04-07,Niger,278,+25,11 ,+1,26,241,,11,0.5,"4,199",173
101,2020-04-07,Mauritius,268,+24,7 ,,8,253,3,211,6,"4,913","3,863"
102,2020-04-07,Palestine,261,+7,1 ,,42,218,,51,0.2,"15,140","2,968"
103,2020-04-07,Nigeria,254,+16,6 ,+1,44,204,2,1,0.03,"5,000",24
104,2020-04-07,Vietnam,251,+6, ,,123,128,8,3,,"106,399","1,093"
105,2020-04-07,Montenegro,241,+8,2 ,,4,235,7,384,3,"2,014","3,207"
106,2020-04-07,Senegal,237,+11,2 ,,105,130,1,14,0.1,,
107,2020-04-07,Kyrgyzstan,228,+12,4 ,,33,191,5,35,0.6,"9,618","1,474"
108,2020-04-07,Georgia,196,+8,3 ,+1,46,147,6,49,0.8,"2,762",692
109,2020-04-07,Bolivia,194,+11,14 ,+3,2,178,3,17,1,591,51
110,2020-04-07,Sri Lanka,185,+7,6 ,+1,42,137,5,9,0.3,"3,248",152
111,2020-04-07,Faeroe Islands,184,+1, ,,120,64,2,"3,766",,"5,035","103,043"
112,2020-04-07,DRC,180,+19,18 ,,9,153,,2,0.2,,
113,2020-04-07,Kenya,172,+14,6 ,,7,159,2,3,0.1,"4,973",92
114,2020-04-07,Mayotte,171,+7,2 ,,22,147,3,627,7,"1,100","4,032"
115,2020-04-07,Venezuela,166,+1,7 ,,65,94,6,6,0.2,"1,779",63
116,2020-04-07,Bangladesh,164,+41,17 ,+5,33,114,1,1.0,0.1,"4,289",26
117,2020-04-07,Martinique,152,+1,4 ,,50,98,20,405,11,,
118,2020-04-07,Isle of Man,150,+11,1 ,,73,76,6,"1,764",12,"1,669","19,628"
119,2020-04-07,Guinea,144,+16, ,,5,139,,11,,,
120,2020-04-07,Guadeloupe,139,,7 ,,31,101,14,347,17,,
121,2020-04-07,Brunei ,135,,1 ,,85,49,3,309,2,"8,845","20,218"
122,2020-04-07,Paraguay,115,+2,5 ,,15,95,1,16,0.7,"2,039",286
123,2020-04-07,Cambodia,115,+1, ,,58,57,1,7,,"5,768",345
124,2020-04-07,Gibraltar,113,+4, ,,60,53,,"3,354",,"1,440","42,741"
125,2020-04-07,Trinidad and Tobago,107,+2,8 ,,1,98,,76,6,878,627
126,2020-04-07,Rwanda,105,, ,,7,98,,8,,806,62
127,2020-04-07,Djibouti,90,, ,,9,81,,91,,"2,229","2,256"
128,2020-04-07,Madagascar,88,+6, ,,7,81,6,3,,,
129,2020-04-07,Monaco,79,+2,1 ,,4,74,4,"2,013",25,,
130,2020-04-07,El Salvador,78,+9,4 ,,5,69,4,12,0.6,,
131,2020-04-07,Liechtenstein,78,+1,1 ,,55,22,,"2,046",26,900,"23,605"
132,2020-04-07,Guatemala,77,+7,3 ,,17,57,3,4,0.2,"1,134",63
133,2020-04-07,French Guiana,77,+5, ,,34,43,1,258,,,
134,2020-04-07,Aruba,74,+3, ,,14,60,,693,,954,"8,935"
135,2020-04-07,Togo,65,+7,3 ,,23,39,,8,0.4,"1,617",195
136,2020-04-07,Barbados,63,+3,3 ,+1,6,54,4,219,10,557,"1,938"
137,2020-04-07,Jamaica,63,+4,3 ,,9,51,,21,1,540,182
138,2020-04-07,Mali,56,+9,5 ,,12,39,,3,0.2,,
139,2020-04-07,Ethiopia,52,+8,2 ,,4,46,1,0.5,0.02,"2,271",20
140,2020-04-07,Uganda,52,, ,,,52,,1,,"3,310",72
141,2020-04-07,French Polynesia,47,+5, ,,,47,,167,,694,"2,471"
142,2020-04-07,Congo,45,,5 ,,2,38,,8,0.9,,
143,2020-04-07,Cayman Islands,45,+6,1 ,,6,38,,685,15,479,"7,288"
144,2020-04-07,Macao,44,, ,,10,34,1,68,,,
145,2020-04-07,Sint Maarten,40,+3,6 ,,1,33,2,933,140,112,"2,612"
146,2020-04-07,Bermuda,39,,2 ,,17,20,,626,32,306,"4,913"
147,2020-04-07,Zambia,39,,1 ,,7,31,,2,0.05,619,34
148,2020-04-07,Bahamas,33,,6 ,+1,5,22,1,84,15,,
149,2020-04-07,Guyana,33,+2,5 ,+1,8,20,4,42,6,132,168
150,2020-04-07,Guinea-Bissau,33,+15, ,,,33,,17,,,
151,2020-04-07,Saint Martin,32,,2 ,,7,23,6,828,52,,
152,2020-04-07,Eritrea,31,, ,,,31,,9,,,
153,2020-04-07,Gabon,30,+6,1 ,,1,28,,13,0.4,,
154,2020-04-07,Benin,26,,1 ,,5,20,,2,0.08,,
155,2020-04-07,Haiti,25,+1,1 ,,,24,,2,0.09,257,23
156,2020-04-07,Tanzania,24,,1 ,,5,18,,0.4,0.02,,
157,2020-04-07,Myanmar,22,,1 ,,,21,,0.4,0.02,"1,246",23
158,2020-04-07,Libya,20,+1,1 ,,1,18,,3,0.1,326,47
159,2020-04-07,Syria,19,,2 ,,3,14,,1,0.1,,
160,2020-04-07,Antigua and Barbuda,19,+4,1 ,+1,,18,1,194,10,40,408
161,2020-04-07,Maldives,19,, ,,13,6,,35,,,
162,2020-04-07,New Caledonia,18,, ,,1,17,,63,,"2,320","8,126"
163,2020-04-07,Angola,17,+1,2 ,,2,13,,0.5,0.06,,
164,2020-04-07,Equatorial Guinea,16,, ,,3,13,,11,,854,609
165,2020-04-07,Namibia,16,, ,,3,13,,6,,362,142
166,2020-04-07,Dominica,15,, ,,1,14,,208,,293,"4,070"
167,2020-04-07,Fiji,15,+1, ,,,15,,17,,,
168,2020-04-07,Mongolia,15,, ,,4,11,,5,,,
169,2020-04-07,Liberia,14,,3 ,,3,8,,3,0.6,,
170,2020-04-07,Sudan,14,+2,2 ,,2,10,,0.3,0.05,,
171,2020-04-07,Laos,14,+2, ,,,14,,2,,765,105
172,2020-04-07,Saint Lucia,14,, ,,1,13,,76,,,
173,2020-04-07,Curaçao,13,,1 ,,7,5,,79,6,,
174,2020-04-07,Grenada,12,, ,,,12,2,107,,45,400
175,2020-04-07,Zimbabwe,11,+1,2 ,+1,,9,,0.7,0.1,371,25
176,2020-04-07,Greenland,11,, ,,10,1,,194,,752,"13,246"
177,2020-04-07,Saint Kitts and Nevis,11,+1, ,,,11,,207,,183,"3,440"
178,2020-04-07,Seychelles,11,, ,,,11,,112,,,
179,2020-04-07,Suriname,10,,1 ,,,9,,17,2,,
180,2020-04-07,Chad,10,+1, ,,2,8,,0.6,,,
181,2020-04-07,Mozambique,10,, ,,1,9,,0.3,,424,14
182,2020-04-07,Eswatini,10,, ,,4,6,,9,,,
183,2020-04-07,MS Zaandam,9,,2 ,,,7,,,,,
184,2020-04-07,Nepal,9,, ,,1,8,,0.3,,"1,890",65
185,2020-04-07,Montserrat,9,+3, ,,,9,1,"1,803",,36,"7,212"
186,2020-04-07,Malawi,8,+3,1 ,+1,,7,1,0.4,0.05,,
187,2020-04-07,Turks and Caicos,8,,1 ,,,7,,207,26,61,"1,576"
188,2020-04-07,CAR,8,, ,,,8,,2,,,
189,2020-04-07,St. Vincent Grenadines,8,+1, ,,1,7,,72,,56,505
190,2020-04-07,Somalia,8,+1, ,,1,7,,0.5,,,
191,2020-04-07,Belize,7,,1 ,,,6,1,18,3,268,674
192,2020-04-07,Cabo Verde,7,,1 ,,1,5,,13,2,,
193,2020-04-07,Vatican City,7,, ,,,7,,"8,739",,,
194,2020-04-07,Botswana,6,,1 ,,,5,,3,0.4,"1,154",491
195,2020-04-07,Mauritania,6,,1 ,,2,3,,1,0.2,67,14
196,2020-04-07,Nicaragua,6,,1 ,,,5,,0.9,0.2,,
197,2020-04-07,St. Barth,6,, ,,1,5,,607,,,
198,2020-04-07,Sierra Leone,6,, ,,,6,,0.8,,,
199,2020-04-07,Bhutan,5,, ,,2,3,,6,,"1,166","1,511"
200,2020-04-07,Gambia,4,,1 ,,2,1,,2,0.4,,
201,2020-04-07,Sao Tome and Principe,4,, ,,,4,,18,,19,87
202,2020-04-07,Western Sahara,4,, ,,,4,,7,,,
203,2020-04-07,Anguilla,3,, ,,,3,,200,,,
204,2020-04-07,British Virgin Islands,3,, ,,,3,,99,,,
205,2020-04-07,Burundi,3,, ,,,3,,0.3,,,
206,2020-04-07,Caribbean Netherlands,2,, ,,,2,,76,,10,381
207,2020-04-07,Falkland Islands,2,, ,,,2,,575,,,
208,2020-04-07,Papua New Guinea,2,, ,,,2,,0.2,,72,8
209,2020-04-07,South Sudan,2,+1, ,,,2,,0.2,,,
210,2020-04-07,Saint Pierre Miquelon,1,, ,,,1,,173,,,
211,2020-04-07,Timor-Leste,1,, ,,,1,,0.8,,,
212,2020-04-07,Total:,"1,430,919","+84,915","82,034","+7,380","301,905","1,046,980","47,913",183.6,10.5,,
