,Date,Country,Total_cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious,Tot_cases_per_1M_population,Total_Deaths_per_1M_population,Total Test,Test test/1M Population,Continent
0,2020-04-11,"
Asia
","287,184","+12,143","10,597",+373,"142,458","134,129","6,626",,,,,Asia
1,2020-04-11,"
North America
","568,949","+32,108","21,792","+1,970","38,078","509,079","12,463",,,,,North America
2,2020-04-11,"
Europe
","852,899","+32,790","73,625","+3,562","210,127","569,147","29,996",,,,,Europe
3,2020-04-11,"
South America
","48,068","+3,092","1,947",+138,"5,232","40,889","1,242",,,,,South America
4,2020-04-11,"
Oceania
","7,702",+94,60,+4,"3,688","3,954",85,,,,,Australia/Oceania
5,2020-04-11,"
Africa
","14,220",+681,745,+48,"2,457","11,018",172,,,,,Africa
6,2020-04-11,"

",721,,13,,619,89,10,,,,,
7,2020-04-11,World,"1,779,743","+80,908","108,779","+6,095","402,659","1,268,305","50,594",228,14.0,,,All
8,2020-04-11,China,"81,953",+46,"3,339 ",+3,"77,525","1,089",141,57,2,,,Asia
9,2020-04-11,USA,"532,879","+30,003","20,577 ","+1,830","30,453","481,849","11,471","1,610",62,"2,670,674","8,068",North America
10,2020-04-11,Spain,"163,027","+4,754","16,606 ",+525,"59,109","87,312","7,371","3,487",355,"355,000","7,593",Europe
11,2020-04-11,Italy,"152,271","+4,694","19,468 ",+619,"32,534","100,269","3,381","2,518",322,"963,473","15,935",Europe
12,2020-04-11,France,"129,654","+4,785","13,832  ",+635,"26,391","89,431","6,883","1,986",212,"333,807","5,114",Europe
13,2020-04-11,Germany,"125,452","+3,281","2,871 ",+135,"57,400","65,181","4,895","1,497",34,"1,317,887","15,730",Europe
14,2020-04-11,UK,"78,991","+5,233","9,875 ",+917,344,"68,772","1,559","1,164",145,"334,974","4,934",Europe
15,2020-04-11,Iran,"70,029","+1,837","4,357 ",+125,"41,947","23,725","3,987",834,52,"251,703","2,997",Asia
16,2020-04-11,Turkey,"52,167","+5,138","1,101 ",+95,"2,965","48,101","1,626",619,13,"340,380","4,036",Asia
17,2020-04-11,Belgium,"28,018","+1,351","3,346 ",+327,"5,986","18,686","1,262","2,418",289,"102,151","8,814",Europe
18,2020-04-11,Switzerland,"25,107",+556,"1,036 ",+34,"12,100","11,971",386,"2,901",120,"190,000","21,954",Europe
19,2020-04-11,Netherlands,"24,413","+1,316","2,643 ",+132,250,"21,520","1,384","1,425",154,"101,534","5,926",Europe
20,2020-04-11,Canada,"23,318","+1,170",653 ,+84,"6,428","16,237",557,618,17,"401,552","10,639",North America
21,2020-04-11,Brazil,"20,962","+1,173","1,140 ",+72,173,"19,649",296,99,5,"62,985",296,South America
22,2020-04-11,Portugal,"15,987",+515,470 ,+35,266,"15,251",233,"1,568",46,"162,798","15,966",Europe
23,2020-04-11,Austria,"13,806",+246,337 ,+18,"6,604","6,865",246,"1,533",37,"140,975","15,653",Europe
24,2020-04-11,Russia,"13,584","+1,667",106 ,+12,"1,045","12,433",8,93,0.7,"1,184,442","8,116",Europe
25,2020-04-11,Israel,"10,743",+335,101 ,+6,"1,341","9,301",175,"1,241",12,"117,339","13,557",Asia
26,2020-04-11,S. Korea,"10,480",+30,211 ,+3,"7,243","3,026",55,204,4,"510,479","9,957",Asia
27,2020-04-11,Sweden,"10,151",+466,887 ,+17,381,"8,883",789,"1,005",88,"54,700","5,416",Europe
28,2020-04-11,Ireland,"8,928",+839,320 ,+33,25,"8,583",194,"1,808",65,"53,000","10,734",Europe
29,2020-04-11,India,"8,446",+846,288 ,+39,969,"7,189",,6,0.2,"189,111",137,Asia
30,2020-04-11,Ecuador,"7,257",+96,315 ,+18,411,"6,531",184,411,18,"21,568","1,222",South America
31,2020-04-11,Chile,"6,927",+426,73 ,+8,"1,864","4,990",383,362,4,"76,374","3,995",South America
32,2020-04-11,Peru,"6,848",+951,181 ,+12,"1,739","4,928",142,208,5,"67,712","2,054",South America
33,2020-04-11,Japan,"6,748",+743,108 ,+9,762,"5,878",117,53,0.9,"68,771",544,Asia
34,2020-04-11,Norway,"6,409",+95,119 ,+6,32,"6,258",67,"1,182",22,"124,279","22,924",Europe
35,2020-04-11,Poland,"6,356",+401,208 ,+27,375,"5,773",160,168,5,"129,560","3,423",Europe
36,2020-04-11,Australia,"6,303",+65,56 ,+2,"3,265","2,982",80,247,2,"351,380","13,780",Australia/Oceania
