,Date,Country,Total_cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious,Tot_cases_per_1M_population,Total_Deaths_per_1M_population,Total Test,Test test/1M Population,Continent
0,2020-05-01,"
Asia
","533,841","+13,791","18,961",+351,"275,375","239,505","5,628",,,,,Asia
1,2020-05-01,"
North America
","1,224,955","+39,881","71,780","+2,261","199,775","953,400","17,727",,,,,North America
2,2020-05-01,"
Europe
","1,399,063","+25,918","137,409","+2,174","519,405","742,249","18,027",,,,,Europe
3,2020-05-01,"
South America
","190,099","+13,285","9,480",+784,"63,905","116,714","9,812",,,,,South America
4,2020-05-01,"
Oceania
","8,348",+16,112,+1,"7,077","1,159",31,,,,,Australia/Oceania
5,2020-05-01,"
Africa
","41,446","+1,661","1,691",+53,"13,918","25,837",126,,,,,Africa
6,2020-05-01,"

",721,,15,,645,61,4,,,,,
7,2020-05-01,World,"3,398,473","+94,552","239,448","+5,624","1,080,100","2,078,925","51,355",436,30.7,,,All
8,2020-05-01,China,"82,874",+12,"4,633 ",,"77,642",599,38,58,3,,,Asia
9,2020-05-01,USA,"1,131,030","+36,007","65,753 ","+1,897","161,563","903,714","16,481","3,417",199,"6,699,878","20,241",North America
10,2020-05-01,Spain,"242,988","+3,648","24,824 ",+281,"142,450","75,714","2,500","5,197",531,"1,528,833","32,699",Europe
11,2020-05-01,Italy,"207,428","+1,965","28,236 ",+269,"78,249","100,943","1,578","3,431",467,"2,053,425","33,962",Europe
12,2020-05-01,UK,"177,454","+6,201","27,510 ",+739,N/A,"149,600","1,559","2,614",405,"1,023,824","15,082",Europe
13,2020-05-01,France,"167,346",+168,"24,594 ",+218,"50,212","92,540","3,878","2,564",377,"1,100,228","16,856",Europe
14,2020-05-01,Germany,"164,077","+1,068","6,736 ",+113,"126,900","30,441","2,189","1,958",80,"2,547,052","30,400",Europe
15,2020-05-01,Turkey,"122,392","+2,188","3,258 ",+84,"53,808","65,326","1,480","1,451",39,"1,075,048","12,747",Asia
16,2020-05-01,Russia,"114,431","+7,933","1,169 ",+96,"13,220","100,042","2,300",784,8,"3,700,000","25,354",Europe
17,2020-05-01,Iran,"95,646","+1,006","6,091 ",+63,"76,318","13,237","2,899","1,139",73,"475,023","5,656",Asia
18,2020-05-01,Brazil,"92,109","+6,729","6,410 ",+509,"38,039","47,660","8,318",433,30,"339,552","1,597",South America
19,2020-05-01,Canada,"55,061","+1,825","3,391 ",+207,"22,751","28,919",557,"1,459",90,"832,222","22,050",North America
20,2020-05-01,Belgium,"49,032",+513,"7,703 ",+109,"11,892","29,437",740,"4,231",665,"253,198","21,847",Europe
21,2020-05-01,Peru,"40,459","+3,483","1,124 ",+73,"11,129","28,206",658,"1,227",34,"342,498","10,388",South America
22,2020-05-01,Netherlands,"39,791",+475,"4,893 ",+98,N/A,"34,648",735,"2,322",286,"225,899","13,184",Europe
23,2020-05-01,India,"37,257","+2,394","1,223 ",+69,"10,007","26,027",,27,0.9,"902,654",654,Asia
24,2020-05-01,Switzerland,"29,705",+119,"1,754 ",+17,"23,900","4,051",167,"3,432",203,"271,500","31,371",Europe
25,2020-05-01,Ecuador,"26,336","+1,402","1,063 ",+163,"1,913","23,360",149,"1,493",60,"71,950","4,078",South America
26,2020-05-01,Portugal,"25,351",+306,"1,007 ",+18,"1,647","22,697",154,"2,486",99,"409,961","40,205",Europe
27,2020-05-01,Saudi Arabia,"24,097","+1,344",169 ,+7,"3,555","20,373",117,692,5,"326,955","9,392",Asia
28,2020-05-01,Sweden,"21,520",+428,"2,653 ",+67,"1,005","17,862",531,"2,131",263,"119,500","11,833",Europe
29,2020-05-01,Ireland,"20,833",+221,"1,265 ",+33,"13,386","6,182",123,"4,219",256,"153,954","31,179",Europe
30,2020-05-01,Mexico,"19,224","+1,425","1,859 ",+127,"11,423","5,942",378,149,14,"81,912",635,North America
31,2020-05-01,Pakistan,"18,092","+1,619",417 ,+56,"4,351","13,324",111,82,2,"182,131",825,Asia
32,2020-05-01,Singapore,"17,101",+932,16 ,+1,"1,268","15,817",23,"2,923",3,"143,919","24,600",Asia
33,2020-05-01,Chile,"17,008",+985,234 ,+7,"9,018","7,756",392,890,12,"189,433","9,910",South America
34,2020-05-01,Israel,"16,101",+155,225 ,+3,"9,156","6,720",103,"1,860",26,"364,467","42,108",Asia
35,2020-05-01,Austria,"15,531",+79,589 ,+5,"13,110","1,832",124,"1,724",65,"264,079","29,321",Europe
36,2020-05-01,Belarus,"14,917",+890,93 ,+4,"2,918","11,906",92,"1,579",10,"186,262","19,712",Europe
37,2020-05-01,Japan,"14,305",+217,455 ,+25,"2,975","10,875",328,113,4,"174,150","1,377",Asia
38,2020-05-01,Qatar,"14,096",+687,12 ,+2,"1,436","12,648",72,"4,893",4,"97,726","33,920",Asia
