,Date,Country,Total_cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious,Tot_cases_per_1M_population,Total_Deaths_per_1M_population,Total Test,Test test/1M Population,Continent
0,2020-04-21,"
Asia
","410,260","+13,791","15,509",+377,"192,074","202,677","6,239",,,,,Asia
1,2020-04-21,"
North America
","879,867","+28,468","48,436","+3,003","100,410","731,021","15,276",,,,,North America
2,2020-04-21,"
Europe
","1,140,051","+26,955","107,906","+3,415","344,820","687,325","26,042",,,,,Europe
3,2020-04-21,"
South America
","91,260","+4,774","4,312",+233,"39,757","47,191","9,472",,,,,South America
4,2020-04-21,"
Oceania
","8,190",+26,84,+1,"5,751","2,355",54,,,,,Australia/Oceania
5,2020-04-21,"
Africa
","25,411","+1,240","1,197",+33,"6,770","17,444",164,,,,,Africa
6,2020-04-21,"

",721,,15,,644,62,7,,,,,
7,2020-04-21,World,"2,555,760","+75,254","177,459","+7,062","690,226","1,688,075","57,254",328,22.8,,,All
8,2020-04-21,China,"82,758",+11,"4,632 ",,"77,123","1,003",82,57,3,,,Asia
9,2020-04-21,USA,"818,744","+25,985","45,318 ","+2,804","82,923","690,503","14,016","2,474",137,"4,187,392","12,651",North America
10,2020-04-21,Spain,"204,178","+3,968","21,282 ",+430,"82,514","100,382","7,705","4,367",455,"930,230","19,896",Europe
11,2020-04-21,Italy,"183,957","+2,729","24,648 ",+534,"51,600","107,709","2,471","3,043",408,"1,450,150","23,985",Europe
12,2020-04-21,France,"158,050","+2,667","20,796 ",+531,"39,181","98,073","5,433","2,421",319,"463,662","7,103",Europe
13,2020-04-21,Germany,"148,453","+1,388","5,086 ",+224,"95,200","48,167","2,889","1,772",61,"1,728,357","20,629",Europe
14,2020-04-21,UK,"129,044","+4,301","17,337 ",+828,N/A,"111,363","1,559","1,901",255,"535,342","7,886",Europe
15,2020-04-21,Turkey,"95,591","+4,611","2,259 ",+119,"14,918","78,414","1,865","1,133",27,"713,409","8,459",Asia
16,2020-04-21,Iran,"84,802","+1,297","5,297 ",+88,"60,965","18,540","3,357","1,010",63,"365,723","4,354",Asia
17,2020-04-21,Russia,"52,763","+5,642",456 ,+51,"3,873","48,434",700,362,3,"2,142,604","14,682",Europe
18,2020-04-21,Brazil,"43,079","+2,336","2,741 ",+154,"24,325","16,013","8,318",203,13,"291,922","1,373",South America
