,Date,Country,Total cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot cases per 1M population,Total Deaths per 1M population,1st Case
44,2020-03-30,Peru,852,+181,18 ,+2,16,818,40,26,0.5,"
Mar 05 "
45,2020-03-30,Mexico,848,+131,16 ,+4,35,797,1,7,0.1,"
Feb 27 "
46,2020-03-30,Singapore,844,+42,3 ,+1,212,629,19,144,0.5,"
Jan 22 "
47,2020-03-30,Argentina,820,+75,20 ,+1,91,709,,18,0.4,"
Mar 02 "
48,2020-03-30,Serbia,741,+82,13 ,+3,42,686,25,85,1,"
Mar 05 "
49,2020-03-30,Slovenia,730,+46,11 ,+2,10,709,23,351,5,"
Mar 03  "
50,2020-03-30,Croatia,713,+56,6 ,+1,55,652,26,174,1,"
Feb 24 "
51,2020-03-30,Diamond Princess,712,,10 ,,603,99,15,,,"
Feb 04 "
52,2020-03-30,Colombia,702,+94,10 ,+4,10,682,29,14,0.2,"
 Mar 05 "
53,2020-03-30,Estonia,679,+34,3 ,+2,20,656,10,512,2,"
Feb 26 "
54,2020-03-30,Hong Kong,642,+82,4 ,,118,520,5,86,0.5,"
Jan 22 "
55,2020-03-30,Qatar,634,+44,1 ,,48,585,6,220,0.3,"
Feb 28 "
56,2020-03-30,Egypt,609,+33,40 ,+4,132,437,,6,0.4,"
Feb 13 "
57,2020-03-30,UAE,570,+102,3 ,+1,58,509,2,58,0.3,"
Jan 28 "
58,2020-03-30,Iraq,547,+41,42 ,,143,362,,14,1,"
Feb 21 "
59,2020-03-30,New Zealand,514,,1 ,,56,457,1,107,0.2,"
Feb 27 "
60,2020-03-30,Algeria,511,+57,31 ,+2,31,449,,12,0.7,"
Feb 24 "
61,2020-03-30,Bahrain,499,+23,4 ,,272,223,1,293,2,"
Feb 23 "
62,2020-03-30,Morocco,479,+77,26 ,+1,13,440,1,13,0.7,"
Mar 01 "
63,2020-03-30,Ukraine,475,+119,10 ,+1,6,459,,11,0.2,"
Mar 02 "
64,2020-03-30,Lithuania,460,+66,7 ,,1,452,2,169,3,"
Feb 27 "
65,2020-03-30,Lebanon,438,+26,10 ,+2,30,398,4,64,1,"
Feb 20 "
66,2020-03-30,Armenia,424,+17,3 ,+2,30,391,6,143,1,"
Feb 29 "
67,2020-03-30,Hungary,408,+65,13 ,+2,34,361,6,42,1,"
Mar 03 "
68,2020-03-30,Latvia,347,+42, ,,1,346,3,184,,"
Mar 01 "
69,2020-03-30,Bulgaria,346,+15,8 ,+1,14,324,8,50,1,"
Mar 06 "
70,2020-03-30,Andorra,334,+26,6 ,+3,1,327,10,"4,323",78,"
Mar 01 "
71,2020-03-30,Bosnia and Herzegovina,323,+45,6 ,,8,309,1,98,2,"
Mar 04 "
72,2020-03-30,Costa Rica,314,+19,2 ,,3,309,6,62,0.4,"
Mar 04 "
73,2020-03-30,Slovakia,314,+22, ,,2,312,1,58,,"
Mar 05 "
74,2020-03-30,Tunisia,312,+34,8 ,,2,302,10,26,0.7,"
Mar 01 "
75,2020-03-30,Uruguay,304,,1 ,,,303,9,88,0.3,"
Mar 12 "
76,2020-03-30,Taiwan,298,+15,3 ,+1,39,256,,13,0.1,"
Jan 20 "
77,2020-03-30,Kazakhstan,284,+56,1 ,,20,263,,15,0.05,"
Mar 12 "
78,2020-03-30,Moldova,263,+32,2 ,,2,259,33,65,0.5,"
Mar 06 "
79,2020-03-30,North Macedonia,259,+18,6 ,+2,3,250,1,124,3,"
Feb 25 "
80,2020-03-30,Jordan,259,+13,3 ,+2,18,238,3,25,0.3,"
Mar 01 "
81,2020-03-30,Kuwait,255,+20, ,,67,188,12,60,,"
Feb 23 "
82,2020-03-30,San Marino,224,,22 ,,6,196,16,"6,602",648,"
Feb 26 "
83,2020-03-30,Burkina Faso,222,+15,12 ,+1,23,187,,11,0.6,"
Mar 08 "
84,2020-03-30,Cyprus,214,+35,6 ,+1,15,193,3,177,5,"
Mar 08 "
85,2020-03-30,Albania,212,+15,10 ,,33,169,3,74,3,"
Mar 07 "
86,2020-03-30,Azerbaijan,209,+27,4 ,,15,190,23,21,0.4,"
Feb 27 "
87,2020-03-30,Vietnam,194,+20, ,,25,169,3,2,,"
Jan 22 "
88,2020-03-30,Réunion,183,, ,,1,182,,204,,"
Mar 10 "
89,2020-03-30,Oman,167,+15, ,,23,144,3,33,,"
Feb 23 "
90,2020-03-30,Ivory Coast,165,+64,1 ,+1,4,160,,6,0.04,"
Mar 10 "
91,2020-03-30,Faeroe Islands,159,+4, ,,70,89,1,"3,254",,"
 Mar 03 "
92,2020-03-30,Ghana,152,+11,5 ,,2,145,1,5,0.2,"
Mar 11 "
93,2020-03-30,Malta,151,+2, ,,2,149,4,342,,"
Mar 06 "
94,2020-03-30,Uzbekistan,144,+40,2 ,,7,135,8,4,0.06,"
Mar 14  "
95,2020-03-30,Senegal,142,+12, ,,27,115,,8,,"
Mar 01 "
96,2020-03-30,Cameroon,139,+48,6 ,+4,5,128,,5,0.2,"
Mar 05 "
97,2020-03-30,Cuba,139,+20,3 ,,4,132,2,12,0.3,"
Mar 10 "
98,2020-03-30,Brunei ,126,+6,1 ,,34,91,1,288,2,"
Mar 08 "
99,2020-03-30,Afghanistan,120,+10,4 ,,2,114,,3,0.1,"
Feb 23 "
100,2020-03-30,Venezuela,119,,3 ,+1,39,77,6,4,0.1,"
Mar 12 "
101,2020-03-30,Sri Lanka,117,+4,1 ,,11,105,5,5,0.05,"
Jan 26 "
102,2020-03-30,Nigeria,111,+14,1 ,,3,107,,0.5,0.00,"
Feb 27 "
103,2020-03-30,Honduras,110,+15,3 ,+2,3,104,4,11,0.3,"
Mar 10 "
104,2020-03-30,Palestine,109,+5,1 ,,18,90,,21,0.2,"
Mar 04 "
105,2020-03-30,Channel Islands,108,+11,2 ,+1,,106,,621,12,"
Mar 08 "
106,2020-03-30,Mauritius,107,+5,3 ,+1,,104,1,84,2,"
Mar 17 "
107,2020-03-30,Guadeloupe,106,+4,4 ,+2,17,85,10,265,10,"
Mar 12 "
108,2020-03-30,Cambodia,103,+4, ,,21,82,1,6,,"
Jan 26 "
109,2020-03-30,Belarus,94,, ,,32,62,2,10,,"
Feb 27 "
110,2020-03-30,Martinique,93,,1 ,,,92,12,248,3,"
Mar 04 "
111,2020-03-30,Georgia,91,+1, ,,18,73,1,23,,"
Feb 25 "
112,2020-03-30,Montenegro,85,+1,1 ,,,84,1,135,2,"
Mar 16 "
113,2020-03-30,Kyrgyzstan,84,+26, ,,,84,,13,,"
Mar 17 "
114,2020-03-30,DRC,81,+16,8 ,+2,2,71,,0.9,0.09,"
Mar 09 "
115,2020-03-30,Bolivia,81,+7,1 ,+1,,80,3,7,0.09,"
Mar 09 "
116,2020-03-30,Trinidad and Tobago,78,+2,3 ,,1,74,,56,2,"
Mar 11 "
117,2020-03-30,Rwanda,70,+10, ,,,70,,5,,"
Mar 13 "
118,2020-03-30,Gibraltar,65,+9, ,,14,51,,"1,929",,"
Mar 02 "
119,2020-03-30,Mayotte,63,, ,,,63,,231,,"
Mar 13 "
120,2020-03-30,Paraguay,59,+3,3 ,,1,55,3,8,0.4,"
Mar 06 "
121,2020-03-30,Liechtenstein,56,, ,,,56,,"1,469",,"
Mar 02 "
122,2020-03-30,Aruba,50,+4, ,,1,49,,468,,"
Mar 12 "
123,2020-03-30,Bangladesh,48,,5 ,,15,28,1,0.3,0.03,"
Mar 07 "
124,2020-03-30,Monaco,46,+3,1 ,,1,44,,"1,172",25,"
Feb 27 "
125,2020-03-30,French Guiana,43,+15, ,,6,37,,144,,"
Mar 06 "
126,2020-03-30,Kenya,42,+4,1 ,,1,40,2,0.8,0.02,"
Mar 12 "
127,2020-03-30,Isle of Man,42,+10, ,,,42,,494,,"
Mar 18 "
128,2020-03-30,Madagascar,39,+13, ,,,39,,1,,"
Mar 19 "
129,2020-03-30,Macao,37,+3, ,,10,27,,57,,"
Jan 21 "
130,2020-03-30,Guatemala,34,,1 ,,10,23,1,2,0.06,"
Mar 12 "
131,2020-03-30,Barbados,33,+7, ,,,33,,115,,"
Mar 16 "
132,2020-03-30,Uganda,33,+3, ,,,33,,0.7,,"
Mar 20 "
133,2020-03-30,Jamaica,32,+2,1 ,,2,29,,11,0.3,"
Mar 09 "
134,2020-03-30,French Polynesia,30,, ,,,30,,107,,"
Mar 10 "
135,2020-03-30,Zambia,29,+1, ,,,29,,2,,"
Mar 17 "
136,2020-03-30,Togo,25,,1 ,,1,23,,3,0.1,"
Mar 05 "
137,2020-03-30,El Salvador,24,+5, ,,,24,,4,,"
Mar 18 "
138,2020-03-30,Bermuda,22,+5, ,,2,20,,353,,"
Mar 17 "
139,2020-03-30,Ethiopia,21,+5, ,,1,20,,0.2,,"
Mar 12 "
140,2020-03-30,Congo,19,+15, ,,,19,,3,,"
Mar 14 "
141,2020-03-30,Mali,18,,1 ,,,17,,0.9,0.05,"
Mar 24 "
142,2020-03-30,Niger,18,+8,1 ,,,17,,0.7,0.04,"
Mar 18 "
143,2020-03-30,Djibouti,18,+4, ,,,18,,18,,"
Mar 17 "
144,2020-03-30,Maldives,17,+1, ,,13,4,,31,,"
Mar 06 "
145,2020-03-30,Guinea,16,+8, ,,,16,,1,,"
Mar 12 "
146,2020-03-30,Haiti,15,+7, ,,1,14,,1,,"
Mar 19 "
147,2020-03-30,New Caledonia,15,, ,,,15,,53,,"
Mar 17 "
148,2020-03-30,Bahamas,14,+4, ,,1,13,,36,,"
Mar 14 "
149,2020-03-30,Tanzania,14,, ,,1,13,,0.2,,"
Mar 15 "
150,2020-03-30,Cayman Islands,12,+4,1 ,,,11,,183,15,"
Mar 12 "
151,2020-03-30,Equatorial Guinea,12,, ,,,12,,9,,"
Mar 13 "
152,2020-03-30,Eritrea,12,+6, ,,,12,,3,,"
 Mar 20 "
153,2020-03-30,Mongolia,12,, ,,,12,,4,,"
Mar 09 "
154,2020-03-30,Dominica,11,, ,,,11,,153,,"
Mar 21 "
155,2020-03-30,Namibia,11,+3, ,,2,9,,4,,"
Mar 13 "
156,2020-03-30,Saint Martin,11,, ,,,11,,284,,"
Feb 29 "
157,2020-03-30,Greenland,10,, ,,2,8,,176,,"
Mar 15 "
158,2020-03-30,Myanmar,10,+2, ,,,10,,0.2,,"
Mar 22 "
159,2020-03-30,Syria,9,+4,1 ,+1,,8,,0.5,0.06,"
Mar 21 "
160,2020-03-30,Grenada,9,+2, ,,,9,,80,,"
Mar 21 "
161,2020-03-30,Saint Lucia,9,+6, ,,1,8,,49,,"
Mar 12 "
162,2020-03-30,Eswatini,9,, ,,,9,,8,,"
Mar 13 "
163,2020-03-30,Curaçao,8,,1 ,,2,5,,49,6,"
Mar 12 "
164,2020-03-30,Guyana,8,,1 ,,,7,,10,1,"
Mar 11 "
165,2020-03-30,Laos,8,, ,,,8,,1,,"
Mar 23 "
166,2020-03-30,Libya,8,+5, ,,,8,,1,,"
Mar 23 "
167,2020-03-30,Mozambique,8,, ,,,8,,0.3,,"
Mar 21 "
168,2020-03-30,Seychelles,8,, ,,,8,,81,,"
Mar 13 "
169,2020-03-30,Suriname,8,, ,,,8,,14,,"
Mar 12 "
170,2020-03-30,Angola,7,+2,2 ,+2,,5,,0.2,0.06,"
Mar 19 "
171,2020-03-30,Gabon,7,,1 ,,,6,,3,0.4,"
Mar 12 "
172,2020-03-30,Zimbabwe,7,,1 ,,,6,,0.5,0.07,"
Mar 19 "
173,2020-03-30,Antigua and Barbuda,7,, ,,,7,,71,,"
Mar 12 "
174,2020-03-30,Cabo Verde,6,,1 ,,,5,,11,2,"
Mar 19 "
175,2020-03-30,Sudan,6,+1,1 ,,,5,,0.1,0.02,"
Mar 12 "
176,2020-03-30,Benin,6,, ,,,6,,0.5,,"
Mar 15 "
177,2020-03-30,Vatican City,6,, ,,,6,,"7,491",,"
Mar 05 "
178,2020-03-30,Sint Maarten,6,, ,,,6,,140,,"
Mar 17 "
179,2020-03-30,Nepal,5,, ,,1,4,,0.2,,"
Jan 23 "
180,2020-03-30,Fiji,5,, ,,,5,,6,,"
Mar 18 "
181,2020-03-30,Mauritania,5,, ,,2,3,,1,,"
Mar 12 "
182,2020-03-30,Montserrat,5,, ,,,5,,"1,002",,"
Mar 17 "
183,2020-03-30,St. Barth,5,, ,,,5,,506,,"
Feb 29 "
184,2020-03-30,Gambia,4,+1,1 ,,,3,,2,0.4,"
Mar 16 "
185,2020-03-30,Nicaragua,4,,1 ,,,3,,0.6,0.2,"
Mar 18 "
186,2020-03-30,Bhutan,4,+1, ,,,4,,5,,"
Mar 05 "
187,2020-03-30,Turks and Caicos,4,, ,,,4,,103,,"
Mar 22 "
188,2020-03-30,CAR,3,, ,,,3,,0.6,,"
Mar 14 "
189,2020-03-30,Chad,3,, ,,,3,,0.2,,"
Mar 18 "
190,2020-03-30,Liberia,3,, ,,,3,,0.6,,"
Mar 15 "
191,2020-03-30,Somalia,3,, ,,,3,,0.2,,"
Mar 15 "
192,2020-03-30,MS Zaandam,2,, ,,,2,,,,"
Mar 26 "
193,2020-03-30,Anguilla,2,, ,,,2,,133,,"
Mar 25 "
194,2020-03-30,Belize,2,, ,,,2,,5,,"
Mar 22 "
195,2020-03-30,British Virgin Islands,2,, ,,,2,,66,,"
Mar 24 "
196,2020-03-30,Guinea-Bissau,2,, ,,,2,,1,,"
Mar 24 "
197,2020-03-30,Saint Kitts and Nevis,2,, ,,,2,,38,,"
Mar 24 "
198,2020-03-30,Papua New Guinea,1,, ,,,1,,0.1,,"
Mar 19 "
199,2020-03-30,St. Vincent Grenadines,1,, ,,1,0,,9,,"
Mar 10 "
200,2020-03-30,Timor-Leste,1,, ,,,1,,0.8,,"
Mar 20 "
201,2020-03-30,Total:,"721,946","+58,864","33,966","+3,110","151,312","536,668","26,789",92.6,4.4,"
 
"
