,Date,Country,Total cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot cases per 1M population,Total Deaths per 1M population,1st Case
0,2020-03-30,China,"81,439",+45,"3,300 ",+5,"75,448","2,691",742,57,2,"
Jan 10 "
1,2020-03-30,USA,"142,047","+18,469","2,484 ",+264,"4,559","135,004","2,970",429,8,"
Jan 20 "
2,2020-03-30,Italy,"97,689","+5,217","10,779 ",+756,"13,030","73,880","3,906","1,616",178,"
Jan 29 "
3,2020-03-30,Spain,"80,110","+6,875","6,803 ",+821,"14,709","58,598","4,165","1,713",146,"
Jan 30 "
4,2020-03-30,Germany,"62,435","+4,740",541 ,+108,"9,211","52,683","1,979",745,6,"
Jan 26 "
5,2020-03-30,France,"40,174","+2,599","2,606 ",+292,"7,202","30,366","4,632",615,40,"
Jan 23 "
6,2020-03-30,Iran,"38,309","+2,901","2,640 ",+123,"12,391","23,278","3,206",456,31,"
Feb 18 "
7,2020-03-30,UK,"19,522","+2,433","1,228 ",+209,135,"18,159",163,288,18,"
Jan 30 "
8,2020-03-30,Switzerland,"14,829",+753,300 ,+36,"1,595","12,934",301,"1,713",35,"
Feb 24 "
9,2020-03-30,Netherlands,"10,866","+1,104",771 ,+132,250,"9,845",972,634,45,"
Feb 26 "
10,2020-03-30,Belgium,"10,836","+1,702",431 ,+78,"1,359","9,046",867,935,37,"
Feb 03 "
11,2020-03-30,S. Korea,"9,583",+105,152 ,+8,"5,033","4,398",59,187,3,"
Jan 19 "
12,2020-03-30,Turkey,"9,217","+1,815",131 ,+23,105,"8,981",568,109,2,"
Mar 09 "
13,2020-03-30,Austria,"8,788",+517,86 ,+18,479,"8,223",187,976,10,"
Feb 24 "
14,2020-03-30,Canada,"6,320",+665,65 ,+5,573,"5,682",120,167,2,"
Jan 24 "
15,2020-03-30,Portugal,"5,962",+792,119 ,+19,43,"5,800",89,585,12,"
Mar 01 "
16,2020-03-30,Norway,"4,284",+269,26 ,+3,7,"4,251",91,790,5,"
Feb 25 "
17,2020-03-30,Brazil,"4,256",+352,136 ,+22,6,"4,114",296,20,0.6,"
Feb 24 "
18,2020-03-30,Israel,"4,247",+628,15 ,+3,132,"4,100",74,491,2,"
Feb 20 "
19,2020-03-30,Australia,"4,163",+528,17 ,+3,244,"3,902",28,163,0.7,"
Jan 24 "
20,2020-03-30,Sweden,"3,700",+253,110 ,+5,16,"3,574",255,366,11,"
Jan 30 "
21,2020-03-30,Czechia,"2,817",+186,16 ,+5,11,"2,790",45,263,1,"
Feb 29 "
22,2020-03-30,Ireland,"2,615",+200,46 ,+10,5,"2,564",59,530,9,"
Feb 28 "
23,2020-03-30,Malaysia,"2,470",+150,35 ,+8,388,"2,047",73,76,1,"
Jan 24 "
24,2020-03-30,Denmark,"2,395",+194,72 ,+7,1,"2,322",113,413,12,"
Feb 26 "
25,2020-03-30,Chile,"2,139",+230,7 ,+1,75,"2,057",7,112,0.4,"
Mar 02 "
26,2020-03-30,Luxembourg,"1,950",+119,21 ,+3,40,"1,889",25,"3,115",34,"
Feb 28 "
27,2020-03-30,Ecuador,"1,924",+101,58 ,+10,3,"1,863",58,109,3,"
Feb 28 "
28,2020-03-30,Japan,"1,866",+173,54 ,+2,424,"1,388",56,15,0.4,"
Jan 14 "
29,2020-03-30,Poland,"1,862",+224,22 ,+4,7,"1,833",3,49,0.6,"
Mar 03 "
30,2020-03-30,Romania,"1,815",+363,43 ,+6,206,"1,566",31,94,2,"
Feb 25 "
31,2020-03-30,Pakistan,"1,597",+102,14 ,+2,29,"1,554",11,7,0.06,"
Feb 25 "
32,2020-03-30,Russia,"1,534",+270,8  ,+4,64,"1,462",8,11,0.05,"
Jan 30 "
33,2020-03-30,Philippines,"1,418",+343,71 ,+3,42,"1,305",1,13,0.6,"
Jan 29 "
34,2020-03-30,Thailand,"1,388",+143,7 ,+1,229,"1,152",11,20,0.1,"
Jan 12 "
35,2020-03-30,Saudi Arabia,"1,299",+96,8 ,+4,66,"1,225",12,37,0.2,"
Mar 01 "
36,2020-03-30,Indonesia,"1,285",+130,114 ,+12,64,"1,107",,5,0.4,"
Mar 01 "
37,2020-03-30,South Africa,"1,280",+93,2 ,+1,31,"1,247",7,22,0.03,"
Mar 04 "
38,2020-03-30,Finland,"1,240",+73,11 ,+2,10,"1,219",32,224,2,"
Jan 28 "
39,2020-03-30,Greece,"1,156",+95,39 ,+7,52,"1,065",66,111,4,"
Feb 25 "
40,2020-03-30,India,"1,024",+37,27 ,+3,95,902,,0.7,0.02,"
Jan 29 "
41,2020-03-30,Iceland,"1,020",+57,2 ,,135,883,25,"2,989",6,"
Feb 27 "
42,2020-03-30,Panama,989,+88,24 ,+7,4,961,36,229,6,"
Mar 09 "
43,2020-03-30,Dominican Republic,859,+140,39 ,+11,3,817,,79,4,"
Feb 29 "
