,Date,Country,Total_cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious,Tot_cases_per_1M_population,Total_Deaths_per_1M_population,Total Test,Test test/1M Population,Continent
0,2020-04-18,"
Asia
","370,784","+12,600","14,401",+335,"176,091","180,292","6,426",,,,,Asia
1,2020-04-18,"
North America
","791,406","+31,651","41,537","+2,122","82,836","667,033","14,659",,,,,North America
2,2020-04-18,"
Europe
","1,060,063","+30,849","99,874","+3,646","298,699","661,490","26,386",,,,,Europe
3,2020-04-18,"
South America
","77,973","+5,442","3,653",+335,"27,692","46,628","7,532",,,,,South America
4,2020-04-18,"
Oceania
","8,105",+66,81,+5,"5,050","2,974",60,,,,,Australia/Oceania
5,2020-04-18,"
Africa
","21,741","+1,322","1,082",+62,"5,470","15,189",195,,,,,Africa
6,2020-04-18,"

",721,,15,,644,62,7,,,,,
7,2020-04-18,World,"2,330,793","+81,930","160,643","+6,505","596,482","1,573,668","55,265",299,20.6,,,All
8,2020-04-18,China,"82,719",+27,"4,632 ",,"77,029","1,058",85,57,3,,,Asia
9,2020-04-18,USA,"738,792","+29,057","39,014 ","+1,867","68,269","631,509","13,551","2,232",118,"3,722,145","11,245",North America
10,2020-04-18,Spain,"194,416","+3,577","20,639 ",+637,"74,797","98,980","7,371","4,158",441,"930,230","19,896",Europe
11,2020-04-18,Italy,"175,925","+3,491","23,227 ",+482,"44,927","107,771","2,733","2,910",384,"1,305,833","21,598",Europe
12,2020-04-18,France,"151,793","+3,824","19,323 ",+642,"35,983","96,487","5,833","2,325",296,"463,662","7,103",Europe
13,2020-04-18,Germany,"143,724","+2,327","4,538 ",+186,"85,400","53,786","2,922","1,715",54,"1,728,357","20,629",Europe
14,2020-04-18,UK,"114,217","+5,525","15,464 ",+888,N/A,"98,409","1,559","1,682",228,"460,437","6,783",Europe
15,2020-04-18,Turkey,"82,329","+3,783","1,890 ",+121,"10,453","69,986","1,894",976,22,"598,933","7,101",Asia
16,2020-04-18,Iran,"80,868","+1,374","5,031 ",+73,"55,987","19,850","3,513",963,60,"330,137","3,931",Asia
17,2020-04-18,Belgium,"37,183","+1,045","5,453 ",+290,"8,348","23,382","1,119","3,208",471,"145,997","12,597",Europe
18,2020-04-18,Russia,"36,793","+4,785",313 ,+40,"3,057","33,423",8,252,2,"1,831,892","12,553",Europe
19,2020-04-18,Brazil,"36,722","+3,040","2,361 ",+220,"14,026","20,335","6,634",173,11,"62,985",296,South America
20,2020-04-18,Canada,"33,383","+1,456","1,470 ",+160,"11,207","20,706",557,885,39,"516,216","13,677",North America
21,2020-04-18,Netherlands,"31,589","+1,140","3,601 ",+142,250,"27,738","1,279","1,844",210,"154,911","9,041",Europe
22,2020-04-18,Switzerland,"27,404",+326,"1,368 ",+41,"17,100","8,936",386,"3,166",158,"216,400","25,004",Europe
23,2020-04-18,Portugal,"19,685",+663,687 ,+30,610,"18,388",228,"1,931",67,"235,878","23,133",Europe
24,2020-04-18,India,"16,365","+2,013",521 ,+35,"2,463","13,381",,12,0.4,"335,123",243,Asia
25,2020-04-18,Ireland,"14,758",+778,571 ,+41,77,"14,110",294,"2,989",116,"90,646","18,358",Europe
26,2020-04-18,Austria,"14,671",+76,443 ,+12,"10,214","4,014",208,"1,629",49,"175,932","19,534",Europe
27,2020-04-18,Peru,"14,420",+931,348 ,+48,"6,684","7,388",117,437,11,"135,895","4,122",South America
28,2020-04-18,Sweden,"13,822",+606,"1,511 ",+111,550,"11,761","1,054","1,369",150,"74,600","7,387",Europe
29,2020-04-18,Israel,"13,265",+283,164 ,+13,"3,456","9,645",164,"1,533",19,"187,250","21,634",Asia
30,2020-04-18,S. Korea,"10,653",+18,232 ,+2,"7,937","2,484",55,208,5,"546,463","10,659",Asia
31,2020-04-18,Japan,"10,296",+509,222 ,+32,"1,069","9,005",221,81,2,"111,325",880,Asia
32,2020-04-18,Chile,"9,730",+478,126 ,+10,"4,035","5,569",360,509,7,"108,891","5,696",South America
33,2020-04-18,Ecuador,"9,022",+572,456 ,+35,"1,008","7,558",168,511,26,"30,922","1,753",South America
34,2020-04-18,Poland,"8,742",+363,347 ,+15,981,"7,414",160,231,9,"192,960","5,098",Europe
