,Date,Country,Total_cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious,Tot_cases_per_1M_population,Total_Deaths_per_1M_population,Total Test,Test test/1M Population
0,2020-04-08,World,"1,517,960","+84,384","88,455","+6,414","330,266","1,099,239","48,092",195,11.3,,
1,2020-04-08,China,"81,802",+62,"3,333 ",+2,"77,279","1,190",189,57,2,,
2,2020-04-08,USA,"434,927","+31,935","14,788 ","+1,940","22,891","397,248","9,279","1,314",45,"2,209,041","6,674"
3,2020-04-08,Spain,"148,220","+6,278","14,792 ",+747,"48,021","85,407","7,069","3,170",316,"355,000","7,593"
4,2020-04-08,Italy,"139,422","+3,836","17,669 ",+542,"26,491","95,262","3,693","2,306",292,"807,125","13,349"
5,2020-04-08,Germany,"113,296","+5,633","2,349 ",+333,"46,300","64,647","4,895","1,352",28,"1,317,887","15,730"
6,2020-04-08,France,"112,950","+3,881","10,869 ",+541,"21,254","80,827","7,148","1,730",167,"224,254","3,436"
7,2020-04-08,Iran,"64,586","+1,997","3,993 ",+121,"29,812","30,781","3,987",769,48,"211,136","2,514"
8,2020-04-08,UK,"60,733","+5,491","7,097 ",+938,135,"53,501","1,559",895,105,"282,074","4,155"
9,2020-04-08,Turkey,"38,226","+4,117",812 ,+87,"1,846","35,568","1,492",453,10,"247,768","2,938"
10,2020-04-08,Belgium,"23,403","+1,209","2,240 ",+205,"4,681","16,482","1,276","2,019",193,"84,248","7,269"
11,2020-04-08,Switzerland,"23,280","+1,027",895 ,+74,"9,800","12,585",391,"2,690",103,"171,938","19,867"
12,2020-04-08,Netherlands,"20,549",+969,"2,248 ",+147,250,"18,051","1,424","1,199",131,"101,534","5,926"
13,2020-04-08,Canada,"19,438","+1,541",427 ,+46,"4,548","14,463",426,515,11,"361,969","9,591"
14,2020-04-08,Brazil,"16,188","+2,154",820 ,+134,127,"15,241",296,76,4,"54,824",258
15,2020-04-08,Portugal,"13,141",+699,380 ,+35,196,"12,565",245,"1,289",37,"128,784","12,630"
16,2020-04-08,Austria,"12,942",+303,273 ,+30,"4,512","8,157",267,"1,437",30,"120,755","13,408"
17,2020-04-08,S. Korea,"10,384",+53,200 ,+8,"6,776","3,408",55,203,4,"477,304","9,310"
18,2020-04-08,Israel,"9,404",+156,73 ,+8,801,"8,530",147,"1,086",8,"117,339","13,557"
19,2020-04-08,Russia,"8,672","+1,175",63 ,+5,580,"8,029",8,59,0.4,"910,221","6,237"
