,Date,Country,Total_cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious,Tot_cases_per_1M_population,Total_Deaths_per_1M_population,Total Test,Test test/1M Population,Continent
0,2020-04-22,"
Asia
","422,287","+12,027","15,854",+345,"198,656","207,777","6,178",,,,,Asia
1,2020-04-22,"
North America
","912,911","+33,044","51,088","+2,652","102,613","759,210","15,271",,,,,North America
2,2020-04-22,"
Europe
","1,168,284","+28,233","111,202","+3,296","360,797","696,285","25,509",,,,,Europe
3,2020-04-22,"
South America
","96,661","+5,401","4,575",+263,"41,402","50,684","9,499",,,,,South America
4,2020-04-22,"
Oceania
","8,201",+11,88,+4,"6,016","2,097",51,,,,,Australia/Oceania
5,2020-04-22,"
Africa
","26,654","+1,243","1,244",+47,"7,315","18,095",174,,,,,Africa
6,2020-04-22,"

",721,,15,,645,61,4,,,,,
7,2020-04-22,World,"2,635,719","+79,959","184,066","+6,607","717,444","1,734,209","56,686",338,23.6,,,All
8,2020-04-22,China,"82,788",+30,"4,632 ",,"77,151","1,005",78,58,3,,,Asia
9,2020-04-22,USA,"848,717","+29,973","47,659 ","+2,341","84,050","717,008","14,016","2,564",144,"4,325,342","13,067",North America
10,2020-04-22,Spain,"208,389","+4,211","21,717 ",+435,"85,915","100,757","7,705","4,457",464,"930,230","19,896",Europe
11,2020-04-22,Italy,"187,327","+3,370","25,085 ",+437,"54,543","107,699","2,384","3,098",415,"1,513,251","25,028",Europe
12,2020-04-22,France,"159,877","+1,827","21,340 ",+544,"40,657","97,880","5,218","2,449",327,"463,662","7,103",Europe
13,2020-04-22,Germany,"150,648","+2,195","5,315 ",+229,"99,400","45,933","2,908","1,798",63,"2,072,669","24,738",Europe
14,2020-04-22,UK,"133,495","+4,451","18,100 ",+763,N/A,"115,051","1,559","1,966",267,"559,935","8,248",Europe
15,2020-04-22,Turkey,"98,674","+3,083","2,376 ",+117,"16,477","79,821","1,814","1,170",28,"750,944","8,904",Asia
16,2020-04-22,Iran,"85,996","+1,194","5,391 ",+94,"63,113","17,492","3,311","1,024",64,"377,396","4,493",Asia
17,2020-04-22,Russia,"57,999","+5,236",513 ,+57,"4,420","53,066",700,397,4,"2,250,000","15,418",Europe
18,2020-04-22,Brazil,"45,757","+2,678","2,906 ",+165,"25,318","17,533","8,318",215,14,"291,922","1,373",South America
19,2020-04-22,Belgium,"41,889",+933,"6,262 ",+264,"9,433","26,194","1,020","3,614",540,"171,400","14,789",Europe
20,2020-04-22,Canada,"40,190","+1,768","1,974 ",+140,"13,986","24,230",557,"1,065",52,"612,192","16,220",North America
21,2020-04-22,Netherlands,"34,842",+708,"4,054 ",+138,N/A,"30,538","1,050","2,033",237,"171,415","10,004",Europe
22,2020-04-22,Switzerland,"28,268",+205,"1,509 ",+31,"19,900","6,859",386,"3,266",174,"227,554","26,293",Europe
23,2020-04-22,Portugal,"21,982",+603,785 ,+23,"1,143","20,054",207,"2,156",77,"284,741","27,925",Europe
24,2020-04-22,India,"21,370","+1,290",681 ,+36,"4,370","16,319",,15,0.5,"462,621",335,Asia
25,2020-04-22,Peru,"19,250","+1,413",530 ,+46,"7,027","11,693",396,584,16,"170,400","5,168",South America
26,2020-04-22,Ireland,"16,671",+631,769 ,+39,"9,233","6,669",147,"3,376",156,"111,584","22,598",Europe
27,2020-04-22,Sweden,"16,004",+682,"1,937 ",+172,550,"13,517",515,"1,585",192,"94,500","9,357",Europe
28,2020-04-22,Austria,"14,925",+52,510 ,+19,"11,328","3,087",176,"1,657",57,"201,794","22,406",Europe
29,2020-04-22,Israel,"14,498",+556,189 ,+5,"5,215","9,094",141,"1,675",22,"240,303","27,763",Asia
30,2020-04-22,Saudi Arabia,"12,772","+1,141",114 ,+5,"1,812","10,846",82,367,3,"200,000","5,745",Asia
31,2020-04-22,Japan,"11,950",+438,299 ,+18,"1,424","10,227",241,94,2,"130,587","1,033",Asia
32,2020-04-22,Chile,"11,296",+464,160 ,+13,"5,386","5,750",399,591,8,"128,722","6,734",South America
33,2020-04-22,Ecuador,"10,850",+452,537 ,+17,"1,262","9,051",141,615,30,"33,389","1,892",South America
34,2020-04-22,S. Korea,"10,694",+11,238 ,+1,"8,277","2,179",55,209,5,"577,959","11,273",Asia
35,2020-04-22,Poland,"10,169",+313,426 ,+25,"1,513","8,230",160,269,11,"238,799","6,310",Europe
36,2020-04-22,Singapore,"10,141","+1,016",12 ,+1,896,"9,233",27,"1,733",2,"94,796","16,203",Asia
