0,Date,Country,Total0cases,New0Cases,Total0Deaths,New0Deaths,Total0Recovered,Active0Cases,Serious,Tot0cases0per01M0population,Total0Deaths0per01M0population
81,4/3/2020,Cyprus,396,40,11,1,28,357,11,328,9
82,4/3/2020,Uruguay,386,36,4,0,86,296,13,111,1
83,4/3/2020,Belarus,351,47,4,0,53,294,11,37,0.4
84,4/3/2020,Taiwan,348,9,5,0,50,293,0,15,0.2
85,4/3/2020,Réunion,321,13,0,0,40,281,3,359,0
86,4/3/2020,Jordan,310,11,5,0,58,247,5,30,0.5
87,4/3/2020,Albania,304,27,17,1,89,198,7,106,6
88,4/3/2020,Burkina0Faso,302,14,16,0,50,236,0,14,0.8
89,4/3/2020,Afghanistan,281,8,6,0,10,265,0,7,0.2
90,4/3/2020,Cuba,269,36,6,0,15,248,8,24,0.5
91,4/3/2020,Oman,252,21,1,0,57,194,3,49,0.2
92,4/3/2020,San0Marino,251,6,32,2,26,193,13,"7,397",943
93,4/3/2020,Vietnam,239,6,0,0,85,154,3,2,0
94,4/3/2020,Channel0Islands,232,39,4,1,13,215,0,"1,334",23
95,4/3/2020,Uzbekistan,227,22,2,0,25,200,8,7,0.06
96,4/3/2020,Honduras,222,3,15,1,3,204,10,22,2
97,4/3/2020,Ivory0Coast,218,24,1,0,19,198,0,8,0.04
98,4/3/2020,Nigeria,210,26,4,2,25,181,0,1,0.02
99,4/3/2020,Senegal,207,12,1,0,66,140,1,12,0.06
100,4/3/2020,Ghana,205,1,5,0,31,169,2,7,0.2
101,4/3/2020,Malta,202,6,0,0,2,200,2,457,0
102,4/3/2020,Palestine,194,33,1,0,21,172,0,38,0.2
103,4/3/2020,Mauritius,186,17,7,0,0,179,1,146,6
104,4/3/2020,Faeroe0Islands,179,2,0,0,91,88,1,"3,663",0
105,4/3/2020,Montenegro,174,30,2,0,1,171,4,277,3
106,4/3/2020,Sri0Lanka,159,8,4,0,24,131,5,7,0.2
107,4/3/2020,Georgia,155,21,0,0,28,127,6,39,0
108,4/3/2020,Venezuela,153,7,7,2,52,94,6,5,0.2
109,4/3/2020,DRC,148,14,16,3,3,129,0,2,0.2
110,4/3/2020,Martinique,143,5,3,0,27,113,18,381,8
111,4/3/2020,Brunei0,134,1,1,0,65,68,3,306,2
112,4/3/2020,Bolivia,132,9,9,1,1,122,3,11,0.8
113,4/3/2020,Guadeloupe,130,2,7,1,24,99,14,325,17
114,4/3/2020,Kyrgyzstan,130,14,1,1,6,123,5,20,0.2
115,4/3/2020,Mayotte,128,12,2,1,10,116,3,469,7
116,4/3/2020,Kenya,122,12,4,1,4,114,2,2,0.07
117,4/3/2020,Niger,120,22,5,0,0,115,0,5,0.2
118,4/3/2020,Isle0of0Man,114,19,1,0,0,113,0,"1,341",12
119,4/3/2020,Cambodia,114,4,0,0,35,79,1,7,0
120,4/3/2020,Trinidad0and0Tobago,98,4,6,1,1,91,0,70,4
121,4/3/2020,Gibraltar,95,7,0,0,46,49,0,"2,820",0
122,4/3/2020,Paraguay,92,15,3,0,6,83,2,13,0.4
123,4/3/2020,Rwanda,89,5,0,0,0,89,0,7,0
124,4/3/2020,Liechtenstein,75,0,0,0,0,75,0,"1,967",0
125,4/3/2020,Guinea,73,21,0,0,2,71,0,6,0
126,4/3/2020,Madagascar,70,11,0,0,0,70,6,3,0
127,4/3/2020,Monaco,64,4,1,0,3,60,2,"1,631",25
128,4/3/2020,Aruba,62,2,0,0,1,61,0,581,0
129,4/3/2020,Bangladesh,61,5,6,0,26,29,1,0.4,0.04
130,4/3/2020,French0Guiana,57,6,0,0,22,35,1,191,0
131,4/3/2020,Jamaica,53,6,3,0,7,43,0,18,1
132,4/3/2020,Barbados,51,5,0,0,0,51,0,177,0
133,4/3/2020,Guatemala,50,3,1,0,12,37,1,3,0.06
134,4/3/2020,Djibouti,49,9,0,0,8,41,0,50,0
135,4/3/2020,Uganda,48,3,0,0,0,48,0,1,0
136,4/3/2020,El0Salvador,46,5,3,1,0,43,4,7,0.5
137,4/3/2020,Macao,42,1,0,0,10,32,0,65,0
138,4/3/2020,Togo,40,1,3,1,17,20,0,5,0.4
139,4/3/2020,Mali,39,3,3,0,0,36,0,2,0.1
140,4/3/2020,Zambia,39,0,1,0,2,36,0,2,0.05
141,4/3/2020,French0Polynesia,39,2,0,0,0,39,1,139,0
142,4/3/2020,Bermuda,35,0,0,0,14,21,0,562,0
143,4/3/2020,Ethiopia,35,6,0,0,3,32,2,0.3,0
144,4/3/2020,Cayman0Islands,29,1,1,0,1,27,0,441,15
145,4/3/2020,Bahamas,24,0,3,2,0,21,1,61,8
146,4/3/2020,Guyana,23,4,4,0,0,19,0,29,5
147,4/3/2020,Sint0Maarten,23,5,4,3,6,13,0,536,93
148,4/3/2020,Congo,22,0,2,0,2,18,0,4,0.4
