,Date,Country,Total_cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious,Tot_cases_per_1M_population,Total_Deaths_per_1M_population,Total Test,Test test/1M Population,Continent
0,2020-04-17,"
Asia
","358,184","+12,188","14,066","+1,640","171,127","172,991","6,403",,,,,Asia
1,2020-04-17,"
North America
","759,755","+35,195","39,422","+2,711","74,274","646,059","14,626",,,,,North America
2,2020-04-17,"
Europe
","1,029,214","+32,674","96,228","+4,004","289,063","643,923","28,102",,,,,Europe
3,2020-04-17,"
South America
","72,531","+4,940","3,318",+261,"26,856","42,357","7,574",,,,,South America
4,2020-04-17,"
Oceania
","8,039",+73,76,+4,"4,651","3,312",64,,,,,Australia/Oceania
5,2020-04-17,"
Africa
","20,419","+1,426","1,020",+52,"4,958","14,441",187,,,,,Africa
6,2020-04-17,"

",721,,15,,644,62,7,,,,,
7,2020-04-17,World,"2,248,863","+86,496","154,145","+8,672","571,573","1,523,145","56,963",289,19.8,,,All
8,2020-04-17,China,"82,692",+325,"4,632 ","+1,290","77,994",66,85,57,3,,,Asia
9,2020-04-17,USA,"709,735","+32,165","37,154 ","+2,535","60,510","612,071","13,509","2,144",112,"3,572,257","10,792",North America
10,2020-04-17,Spain,"190,839","+5,891","20,002 ",+687,"74,797","96,040","7,371","4,082",428,"930,230","19,896",Europe
11,2020-04-17,Italy,"172,434","+3,493","22,745 ",+575,"42,727","106,962","2,812","2,852",376,"1,244,108","20,577",Europe
12,2020-04-17,France,"147,969","+1,909","18,681 ",+761,"34,420","94,868","6,027","2,267",286,"463,662","7,103",Europe
13,2020-04-17,Germany,"141,397","+3,699","4,352 ",+300,"83,114","53,931","5,013","1,688",52,"1,728,357","20,629",Europe
14,2020-04-17,UK,"108,692","+5,599","14,576 ",+847,N/A,"93,772","1,559","1,601",215,"438,991","6,467",Europe
15,2020-04-17,Iran,"79,494","+1,499","4,958 ",+89,"54,064","20,472","3,563",946,59,"319,879","3,808",Asia
16,2020-04-17,Turkey,"78,546","+4,353","1,769 ",+126,"8,631","68,146","1,845",931,21,"558,413","6,621",Asia
17,2020-04-17,Belgium,"36,138","+1,329","5,163 ",+306,"7,961","23,014","1,140","3,118",445,"139,387","12,027",Europe
18,2020-04-17,Brazil,"33,682","+2,999","2,141 ",+194,"14,026","17,515","6,634",158,10,"62,985",296,South America
19,2020-04-17,Russia,"32,008","+4,070",273 ,+41,"2,590","29,145",8,219,2,"1,718,019","11,773",Europe
20,2020-04-17,Canada,"31,927","+1,821","1,310 ",+115,"10,543","20,074",557,846,35,"507,701","13,452",North America
21,2020-04-17,Netherlands,"30,449","+1,235","3,459 ",+144,250,"26,740","1,279","1,777",202,"154,911","9,041",Europe
22,2020-04-17,Switzerland,"27,078",+346,"1,327 ",+46,"16,400","9,351",386,"3,129",153,"206,400","23,849",Europe
23,2020-04-17,Portugal,"19,022",+181,657 ,+28,519,"17,846",222,"1,866",64,"221,049","21,678",Europe
24,2020-04-17,Austria,"14,595",+119,431 ,+21,"9,704","4,460",227,"1,621",48,"169,272","18,795",Europe
25,2020-04-17,India,"14,352",+922,486 ,+38,"2,041","11,825",,10,0.4,"335,123",243,Asia
26,2020-04-17,Ireland,"13,980",+709,530 ,+44,77,"13,373",156,"2,831",107,"90,646","18,358",Europe
27,2020-04-17,Peru,"13,489",+998,300 ,+26,"6,541","6,648",137,409,9,"127,513","3,867",South America
28,2020-04-17,Sweden,"13,216",+676,"1,400 ",+67,550,"11,266",482,"1,309",139,"74,600","7,387",Europe
29,2020-04-17,Israel,"12,982",+224,151 ,+9,"3,126","9,705",168,"1,500",17,"187,250","21,634",Asia
30,2020-04-17,S. Korea,"10,635",+22,230 ,+1,"7,829","2,576",55,207,4,"546,463","10,659",Asia
31,2020-04-17,Japan,"9,787",+556,190 ,,935,"8,662",193,77,2,"100,703",796,Asia
32,2020-04-17,Chile,"9,252",+445,116 ,+11,"3,621","5,515",384,484,6,"103,873","5,434",South America
33,2020-04-17,Ecuador,"8,450",+225,421 ,+18,838,"7,191",168,479,24,"27,868","1,580",South America
34,2020-04-17,Poland,"8,379",+461,332 ,+18,866,"7,181",160,221,9,"179,654","4,747",Europe
35,2020-04-17,Romania,"8,067",+360,411 ,+19,"1,508","6,148",258,419,21,"85,805","4,460",Europe
36,2020-04-17,Saudi Arabia,"7,142",+762,87 ,+4,"1,049","6,006",74,205,2,"150,000","4,309",Asia
