0,Date,Country,Total_cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious,Tot_cases_per_1M_population,Total_Deaths_per_1M_population,Total_Test,Test_test/1M_Population
153,4/4/2020,Myanmar,21,1,1,0,0,20,0,0.4,0.02,0,0
154,4/4/2020,Tanzania,20,0,1,0,3,16,0,0.3,0.02,0,0
155,4/4/2020,Haiti,20,2,0,0,1,19,0,2,0,200,18
156,4/4/2020,Maldives,19,0,0,0,13,6,0,35,0,0,0
157,4/4/2020,Libya,18,1,1,0,0,17,0,3,0.1,131,19
158,4/4/2020,Guinea-Bissau,18,3,0,0,0,18,0,9,0,0,0
159,4/4/2020,New0Caledonia,17,0,0,0,1,16,0,60,0,"1,390","4,869"
160,4/4/2020,Syria,16,0,2,0,2,12,0,0.9,0.1,0,0
161,4/4/2020,Benin,16,0,0,0,2,14,0,1,0,0,0
162,4/4/2020,Equatorial0Guinea,16,0,0,0,1,15,0,11,0,0,0
163,4/4/2020,Antigua0and0Barbuda,15,0,0,0,0,15,1,153,0,40,408
164,4/4/2020,Dominica,14,0,0,0,0,14,0,194,0,255,"3,542"
165,4/4/2020,Mongolia,14,0,0,0,2,12,0,4,0,0,0
166,4/4/2020,Namibia,14,0,0,0,3,11,0,6,0,301,118
167,4/4/2020,Saint0Lucia,14,1,0,0,1,13,0,76,0,0,0
168,4/4/2020,Fiji,12,5,0,0,0,12,0,13,0,0,0
169,4/4/2020,Grenada,12,0,0,0,0,12,2,107,0,45,400
170,4/4/2020,Curaçao,11,0,1,0,5,5,0,67,6,0,0
171,4/4/2020,Greenland,11,1,0,0,3,8,0,194,0,542,"9,547"
172,4/4/2020,Angola,10,2,2,0,2,6,0,0.3,0.06,0,0
173,4/4/2020,Sudan,10,0,2,0,2,6,0,0.2,0.05,0,0
174,4/4/2020,Liberia,10,3,1,1,3,6,0,2,0.2,0,0
175,4/4/2020,Suriname,10,0,1,0,0,9,0,17,2,0,0
176,4/4/2020,Laos,10,0,0,0,0,10,0,1,0,437,60
177,4/4/2020,Mozambique,10,0,0,0,1,9,0,0.3,0,338,11
178,4/4/2020,Seychelles,10,0,0,0,0,10,0,102,0,0,0
179,4/4/2020,MS0Zaandam,9,0,2,0,0,7,0,0,0,0,0
180,4/4/2020,Zimbabwe,9,0,1,0,0,8,0,0.6,0.07,316,21
181,4/4/2020,Nepal,9,3,0,0,1,8,0,0.3,0,"1,521",52
182,4/4/2020,Chad,9,1,0,0,0,9,0,0.5,0,0,0
183,4/4/2020,Saint0Kitts0and0Nevis,9,0,0,0,0,9,0,169,0,113,"2,124"
184,4/4/2020,Eswatini,9,0,0,0,0,9,0,8,0,0,0
185,4/4/2020,CAR,8,0,0,0,0,8,0,2,0,0,0
186,4/4/2020,Cabo0Verde,7,1,1,0,0,6,0,13,2,0,0
187,4/4/2020,Vatican0City,7,0,0,0,0,7,0,"8,739",0,0,0
188,4/4/2020,St.0Vincent0Grenadines,7,0,0,0,1,6,0,63,0,0,0
189,4/4/2020,Somalia,7,0,0,0,1,6,0,0.4,0,0,0
190,4/4/2020,Mauritania,6,0,1,0,2,3,0,1,0.2,67,14
191,4/4/2020,Montserrat,6,0,0,0,0,6,0,"1,202",0,0,0
192,4/4/2020,St.0Barth,6,0,0,0,1,5,0,607,0,0,0
193,4/4/2020,Nicaragua,5,0,1,0,0,4,0,0.8,0.2,0,0
194,4/4/2020,Bhutan,5,0,0,0,2,3,0,6,0,0,0
195,4/4/2020,Turks0and0Caicos,5,0,0,0,0,5,0,129,0,0,0
196,4/4/2020,Botswana,4,0,1,0,0,3,0,2,0.4,175,74
197,4/4/2020,Gambia,4,0,1,0,2,1,0,2,0.4,0,0
198,4/4/2020,Belize,4,0,0,0,0,4,0,10,0,25,63
199,4/4/2020,Malawi,4,1,0,0,0,4,0,0.2,0,0,0
200,4/4/2020,Sierra0Leone,4,2,0,0,0,4,0,0.5,0,2,0.3
201,4/4/2020,Western0Sahara,4,4,0,0,0,4,0,7,0,0,0
202,4/4/2020,Anguilla,3,0,0,0,0,3,0,200,0,0,0
203,4/4/2020,British0Virgin0Islands,3,0,0,0,0,3,0,99,0,0,0
204,4/4/2020,Burundi,3,0,0,0,0,3,0,0.3,0,2,0.2
205,4/4/2020,Caribbean0Netherlands,2,0,0,0,0,2,0,76,0,10,381
206,4/4/2020,Falkland0Islands,1,0,0,0,0,1,0,287,0,0,0
207,4/4/2020,Papua0New0Guinea,1,0,0,0,0,1,0,0.1,0,72,8
208,4/4/2020,Timor-Leste,1,0,0,0,0,1,0,0.8,0,0,0
209,4/4/2020,Total:,"1,201,443","84,801","64,688","5,801","246,258","890,497","42,324",154.1,8.3,0,0
