0,Date,Country,Total_cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious,Tot_cases_per_1M_population,Total_Deaths_per_1M_population,Total0Test,Test0test/1M0Population
111,4/5/2020,Bolivia,157,18,10,0,2,145,3,13,1,591,51
112,4/5/2020,DRC,154,0,18,0,3,133,0,2,0,0,0
113,4/5/2020,Martinique,149,4,4,1,50,95,21,397,11,0,0
114,4/5/2020,Mayotte,147,13,2,0,14,131,3,539,7,479,"1,756"
115,4/5/2020,Kyrgyzstan,147,3,1,0,9,137,5,23,0,"9,618","1,474"
116,4/5/2020,Kenya,142,16,4,0,4,134,2,3,0,"3,836",71
117,4/5/2020,Guadeloupe,135,1,7,0,31,97,14,337,17,0,0
118,4/5/2020,Brunei0,135,0,1,0,73,61,3,309,2,"8,129","18,581"
119,4/5/2020,Isle0of0Man,127,1,1,0,0,126,0,1494,12,"1,334","15,688"
120,4/5/2020,Guinea,121,10,0,0,5,116,0,9,0,0,0
121,4/5/2020,Cambodia,114,0,0,0,50,64,1,7,0,"5,768",345
122,4/5/2020,Trinidad0and0Tobago,104,1,7,1,1,96,0,74,5,797,569
123,4/5/2020,Paraguay,104,8,3,0,12,89,2,15,0,"1,381",194
124,4/5/2020,Rwanda,104,2,0,0,4,100,0,8,0,0,0
125,4/5/2020,Gibraltar,103,5,0,0,52,51,0,3057,0,"1,345","39,922"
126,4/5/2020,Bangladesh,88,18,9,1,33,46,1,1,0,"2,914",18
127,4/5/2020,Liechtenstein,77,0,1,0,0,76,0,2020,26,900,"23,605"
128,4/5/2020,Monaco,73,7,1,0,3,69,4,1860,25,0,0
129,4/5/2020,Madagascar,72,2,0,0,2,70,6,3,0,0,0
130,4/5/2020,Guatemala,70,9,3,1,15,52,3,4,0,"1,134",63
131,4/5/2020,French0Guiana,68,7,0,0,27,41,1,228,0,0,0
132,4/5/2020,Aruba,64,0,0,0,1,63,0,599,0,869,"8,139"
133,4/5/2020,El0Salvador,62,6,3,0,2,57,4,10,1,0,0
134,4/5/2020,Djibouti,59,9,0,0,9,50,0,60,0,0,0
135,4/5/2020,Jamaica,58,5,3,0,8,47,0,20,1,540,182
136,4/5/2020,Barbados,56,4,1,1,6,49,4,195,3,527,"1,834"
137,4/5/2020,Uganda,52,4,0,0,0,52,0,1,0,"2,629",57
138,4/5/2020,Congo,45,23,5,3,2,38,0,8,1,0,0
139,4/5/2020,Mali,45,4,5,2,1,39,0,2,0,0,0
140,4/5/2020,Togo,44,3,3,0,20,21,0,5,0,0,0
141,4/5/2020,Macao,44,0,0,0,10,34,0,68,0,0,0
142,4/5/2020,Ethiopia,43,5,2,2,4,37,1,0,0,"1,843",16
143,4/5/2020,French0Polynesia,41,1,0,0,0,41,0,146,0,612,"2,179"
144,4/5/2020,Cayman0Islands,39,4,1,0,1,37,0,593,15,365,"5,554"
145,4/5/2020,Zambia,39,0,1,0,3,35,0,2,0,619,34
146,4/5/2020,Bermuda,37,0,0,0,14,23,0,594,0,298,"4,785"
147,4/5/2020,Saint0Martin,32,8,2,0,7,23,6,828,52,0,0
148,4/5/2020,Bahamas,29,1,5,1,4,20,1,74,13,0,0
149,4/5/2020,Eritrea,29,0,0,0,0,29,0,8,0,0,0
150,4/5/2020,Sint0Maarten,25,2,4,0,1,20,0,583,93,82,"1,912"
151,4/5/2020,Guyana,24,1,4,0,0,20,0,31,5,93,118
152,4/5/2020,Tanzania,22,2,1,0,3,18,0,0,0,0,0
153,4/5/2020,Benin,22,6,0,0,5,17,0,2,0,0,0
154,4/5/2020,Gabon,21,0,1,0,1,19,0,9,0,0,0
155,4/5/2020,Haiti,21,1,1,1,1,19,0,2,0,247,22
156,4/5/2020,Myanmar,21,0,1,0,0,20,0,0,0,0,0
157,4/5/2020,Syria,19,3,2,0,2,15,0,1,0,0,0
158,4/5/2020,Maldives,19,0,0,0,13,6,0,35,0,0,0
159,4/5/2020,Libya,18,0,1,0,0,17,0,3,0,294,43
160,4/5/2020,Guinea-Bissau,18,0,0,0,0,18,0,9,0,0,0
161,4/5/2020,New0Caledonia,18,1,0,0,1,17,0,63,0,"1,983","6,946"
162,4/5/2020,Equatorial0Guinea,16,0,0,0,1,15,0,11,0,0,0
163,4/5/2020,Namibia,16,2,0,0,3,13,0,6,0,301,118
